xstr_no_string|NO STRING!
str_rumor_talki_adven_13|[모험단 소문] 그가 말하길 며칠전 감쪽같이 사라진 어느 모험단에게 벌어진 사건을 직접 봤다는 사람과 이야기를 나눴다고 하더군요. 모험단은 레인에 숨겨진 보물을 찾고있다 기습공격을 당했다고 합니다. 누가 그들을 공격했는지에 대해서는 말을 않더랍니다.
str_rumor_talki_adven_14|[모험단 소문] 그는 모험단 특히 그 중에서 메어간 키어릭에 의해 운영되는 그리핀소드 모험단에 관한 이야기를 해주었습니다. 여성전사들을 모집하는 곳이죠.
str_rumor_talki_adven_15|[모험단 소문] 그가 말하길 대다수의 모험단은 그들의 직업에 쏟아 부은 시간만큼의 명성을 누리게 된다고 합니다.
str_rumor_talki_adven_16|[모험단 소문] 그가 아벤도르의 경비 대장에게 들은 이야기입니다. 경비 대장은 모험단의 어느 여성에게 청혼하려다 실수를 하게 되었습니다. 그녀는 그를 성벽 속으로 넘어뜨린 다음 맞으면 가장 아픈 곳에 킥을 날리고 그녀의 대거를 그의 목젖에 갖대 대었습니다. 그 모든 일이 벌어지는 동안 그녀는 매우 시적인 관점에서 그의 뻔뻔스러움을 저주했습니다. 
str_rumor_talki_adven_17|[모험단 소문] 그가 말하길 모험단의 단원 1명이 술집 안에 앉아 실망감을 술로 날려보내고 있었다고 합니다. 그가 속한 모험단은 구입한 지도의 표시된 장소에 보물을 찾아낼 수 없었습니다. 모험단 단원이 말하길 이제 자신들에게 물건을 판 여행자는 큰 곤경에 빠질 거랍니다.
str_rumor_talki_adven_18|[모험단 소문] 그가 듣기론 발론브라이의 여관 주인이 그의 여관으로부터 모든 모험단을 내쫒았다고 합니다. 왜냐하면 저번주에 한 그룹의 모험자가 여관을 엉망진창으로 만들어놓았거든요.
str_rumor_talki_adven_19|[모험단 소문] 그가 말하길 이제 곧 어느 모험가 단장이 자신의 노모를 팔아치울 계획이라고 합니다. 제 생각에 그는 몇 디나르 정도나 벌게 될 것 같군요.
str_rumor_talki_adven_20|[모험단 소문] 그가 듣기론 바클레이에는 모집자가 있는데 펜도르 모험단에 참여할 젊은 귀족들을 찾는다고 하더군요. 그들은 지원자들의 부유함을 그들의 야만적인 이해력의 범주를 넘어서 증명한다고 합니다.
str_rumor_talki_bandit_1|[도둑들 소문]그는 무법자로 변한 소년 몇명을 탓해선 안된다고 합니다. 그들의 아버지는 영주에 의해 밀렵을 하시던 아버지를 잃고 보안관에 의해 그들의 땅을 모두 빼았겼다고 합니다. 그들이 뭘 할수 있었을 까요?
str_rumor_talki_bandit_2|[도둑들 소문]그는 붉은형제단 중 한명이 자신에게 말해 주었다고 합니다. 자신들은 무법자들이 무엇을 하고 다니는지에 대해 파악하고 있다는 겁니다. 왜냐 하면 무법자의 무리를 이끄는 지도자는 영주의 여동생이라 매우 유명하다고 합니다. 그들은 '저스 프리매 노틱스'라 부릅니다.
str_rumor_talki_bandit_3|[도둑들 소문]그는 한 상행단장이 자신은 무법자와 붉은 형제단 같은 나쁜놈들의 중간정도에 있어 습격당하는 일이 적다고 합니다. 살레온에서 아벤도르까지 모험가 부대를 동행시키지 않고 가는것은 매우 가치있는 일이라고 합니다.
str_rumor_talki_bandit_4|[도둑들 소문]그가 듣기로 무법자들은 이교도나 사교도에 합류하기 시작했다고 합니다. 왜냐하면 그들은 이전부터 납치한 여자 아이들은 이교도와 사교도에 보내왔고 살육을 즐겨했기 때문이라고 합니다.
str_rumor_talki_bandit_5|[도둑들 소문]그는 살레온의 상인들이 무법자의 무리를 교수형에 처하지 말라고 간청했다고 합니다. 그들은 마을광장 한복판에서 능지처참을 해주실 바란다고 예기했습니다.
str_rumor_talki_bandit_6|[도둑들 소문]그는 무법자들이 정당한 이유로 모집 된다고 합니다. 그들은 자신들의 마을에서 나쁜행동과 경범죄등으로 쫒겨 난다고 합니다.
str_rumor_talki_bandit_7|[도둑들 소문]그는 붉은 형제단이 궁지에 몰렸을때만 무법자 무리를 모집한다고 합니다. 그래봤자 쓰레기는 쓰레기지요 통의 맨위 부분에 쓰레기가 있으면 누가 쓰겠습니까? 하하!
str_rumor_talki_bandit_8|[도둑들 소문]그는 무법자 무리중 일부가 신비산 추종자들에게 합류하고 있다고 합니다. 그들은 레이븐스턴을 점령하면 땅을 나눠준다는 놀음에 속아 넘어 간듯합니다. 멍청한 녀석들!
str_rumor_talki_bandit_9|[도둑들 소문]그가 듣기로 무법자들 사이에서 {playername} 이라는 치명적인 쓰레기에 대하여 들을수 있었다고 합니다. 그는 불쾌해지기 전에 왜 그가 쓰레기인지 물어봤고 무법자들 사이에서 그가 쓰레기라는것에 그 누구도 반대하지 않는다고 합니다.
str_rumor_talki_bandit_10|[도둑들 소문]그가 듣기로 자빅스 홀름의 무법자놈들이 {playername} 에 대하여 이야기를 하는것을 들었다고 합니다 왜냐하면 {reg63?he:she} 는 펜도르의 누구보다도 사람을 많이죽이고 라문에게 노예들을 팔았다는 소문들 들었기 때문이라고 합니다.
str_rumor_talki_bandit_11|[도둑들 소문]그는 라리아의 시장에서 자투가 그들과 합류하려는 무법자의 무리를 죽였다고 말했습니다. 자투가 좋은일을 했군요, 쌤통입니다.
str_rumor_talki_bandit_12|[도둑들 소문]그는 샤프란꽃문 마을이 습격 당했을때, 농부가 무법자들 사이에 신비산 추방자가 섞여있다는 것을 들었다고 합니다. 역시 쓰레기는 쓰레기끼리 모이는 군요.
str_rumor_talki_bandit_13|[도둑들 소문]그가 듣기로 노예상인 라문은 {playername} 가 포로를 팔고서 돈을 받는것을 거부했다고 합니다. {reg63?his:her} 는 도적들과 전투 후 {reg63?He:She} 가 말하길 그들은 농민들에게 고통을 주기때문에 배에 팔릴 가치가 충분히 있다고 합니다.
str_rumor_talki_bandit_14|[도둑들 소문]그는 싱갈의 말상인에게서 드샤르 도적들중 하나가 싱갈의 벽 바깥에서 주민들을 습격한다고 합니다. 그들이 마을 주민을 먹이로 삼지 못하게 해야합니다. 이러한 소식은 저를 초조하게 만드는 군요.
str_rumor_talki_bandit_15|[도둑들 소문]그는 많은 모험가 조직이 도적들이 대담해 졌다며 아주 기뻐하는 소식을 들었습니다. 그들은 모든 펜도르의 상행단들을 모으고 그 후 도둑들을 잡을 계획을 세우고있었습니다.
str_rumor_talki_bandit_16|[도둑들 소문]그는 벨벳의 가격이 50%나 인상했다고 합니다 그 이유는 벨벳을 안전하게 가져오기 위해서는 상인들에게 많은 경비원을 고용해야 하며 그 비용을 소비자에게도 전가하고 있기 때문이라고 하는 군요.
str_rumor_talki_bandit_17|[도둑들 소문]그는 어느날 도적으로부터 매우 슬픈 사연을 들을 수 있었다고 합니다. 그의 아버지는 돌아가신 듯 하셨고 삼촌은 그럭저럭의 농장을 경영하고 있었다고 합니다. 그는 그저 어머니를 먹여 살리기 위해 어머니를 지하에다 가두고 자신은 어머니 모르게 도둑질을 하고 다녔다고 합니다.
str_rumor_talki_bandit_18|[도둑들 소문]그가 듣기로 파이어즈 베인에서 그들의 영웅이 그들의 피 묻은 여신의 피를 채워줄 충분한 소작농을 잡아오지 못하면 그들의 맴버들을 희생시킨다고 합니다.
str_rumor_talki_bandit_19|[도둑들 소문]그는 몇몇 무법자들로 부터 정말 재미 있는 이야기를 들을 수 있었다고 합니다. 그들은 상품 상점과 무기상점을 실수로 인수하려 했고 그 실수를 들켜 무법자 무리에서 쫒겨 났다고 합니다.
str_rumor_talki_bandit_20|[도둑들 소문]그가 말하길 반스케리 약탈자는 북쪽에 팔려나가는 도적단을 구출하기 위해 다른 도적단을 습격 했다고 합니다. 그들이 좋은 것을 만들수 있을지는 의심스럽지만 아마 잘 하겠죠 그들의 주인이 감시하고 있으니 말이죠.
str_rumor_talki_bandit_21|[도둑들 소문]그가 듣기로 고스베르 마을은 모종을 적절한 시기에 심지 못하였고 그 땅의 주인의 탐욕과 높은 세금때문에 겨울을 날 자신이 없어 그 땅을 버리고 살레온 남쪽지방으로 도망쳤다고 합니다. 그들중 일부분은 선회하여 돌아가기도 했다고도 합니다.
str_rumor_talki_bandit_22|[도둑들 소문]그는 뷜린마을의 한 여성이 한 젊은이의 시체에서 우는 것을 보았습니다. 다른 농민들이 보고있는 가운데 어떤 일이 있었는지 물었을 때, 그 여인은 남편을 잃은 후에 장남이 가족을 부양하기위해 군대에 입대했다고 대답했습니다. 그는 몇몇 상행단을 습격하는 도적들을 티투스 레가투스 에게 알렸고 정의는 신속하고 무자비하게 집행됬습니다.
str_rumor_talki_bandit_23|[도둑들 소문]그는 다음 공격 습격을 계획하는 몇몇 도적들에 대해 들었습니다. 그들은 몇몇 인근마을의 이름을 언급했지만 그 중 하나는 단순한 습격 대신에 그마을을 자신들만의 개인 왕국으로 바꿀것을 제안했습니다. 나머지 사람들은 이 생각을 응원하며, 영주가 될 생각에 기뻐했습니다. 그러나 그들은 너무 어려 보이더군요.
str_rumor_talki_bandit_24|[도둑들 소문]그는 길 옆에 있는 포스터를 발견했다고 합니다. 처음에는 실종된 아이를 찾는 것이라 생각했지만 자세히 보니 영주가 그아이의 머리에 상당한 양의 보상금을 걸어 두었다는것을 깨달았습니다. 그는 이미 12명을 살해했다고 합니다.
str_rumor_talki_bandit_25|[도둑들 소문]그가 듣기로 선술집에서 음유시인이 발라드곡인 '대장장이 통키'를 부르는 소리를 들었고, 그것은 지역 선술집에서 가장 인기있는 것 이었습니다. 그러나 곧 군중들이 야유을 주고받으며 추악한 소리로 부르기 시작했습니다. 그들은 대장장이의 아들 통키의 이야기를 들려주며 돈과 명예만을 추구하고있었습니다. 그러자 그들중 한명이 선술집을 황폐화 시켰고 물을 마치 포도주처럼 마시고 떠났다고합니다. {playername}, 라는 이름이었다고 하는데 아무도 그 이름을 몰랐다고 합니다.
str_rumor_talki_renegade_1|[변절자들 소문]그가 듣기로 변절자 기사중 하나가 레이븐 스턴마을에서 모든 남자의 목을 베고다닌다는 소식을 들었다고 합니다. 왜 그럴까요? 왜나하면 그는 소작농으로 부터 훔친 음식이나 물품은 좋아하지 않기 때문이라고 합니다.
str_rumor_talki_renegade_2|[변절자들 소문]그가 듣기로 센다폴 선술집에서 레이븐스턴의 영주와 변절자 기사단의 싸움에서 한 기사가 레이븐 스턴의 영주를 도와주었다고 합니다. 변절자 기사단은 그사람을 찾아 다닌다고 하는데요. 이름은 {playername} 입니다. 혹시 당신인가요? 만약 그렇다면 조심하세요!
str_rumor_talki_renegade_3|[변절자들 소문]그가 말하길 변절자 기사단에서 탈주자나 전투중에 도망치면 바로 적으로 분류한다고 합니다. 그리고 그들은 적을 절대 잊지않는다고 합니다.
str_rumor_talki_renegade_4|[변절자들 소문]그는 변절자 기사들의 대부분이 외국의 불법귀족이라는 소문들 들었다고 합니다. 그들은 마치 죽어가는 개가 돌아다니듯이 현재의 불안정한 상태에서 그들의 운명을 개척하기 위해 이곳으로 온다고 합니다.
str_rumor_talki_renegade_5|[변절자들 소문]그는 발론브레이의 수비대로부터 흥미로운 소문을 들을수 있었다고 합니다 발론브레이의 모험가 부대가 변절자 기사단과 싸워 심하게 다쳐 돌아왔다고 합니다. 그들이 싸운 철검부대 일지도 모른다 (nine)
str_rumor_talki_renegade_6|[변절자들 소문]그는 변절자 기사단이 상행단을 습격할 뿐만 아니라 농부도 심하게 학대한다고 합니다. 그 놈들이 나쁜길로 빠지고 있는것은 틀림 없군요. 창녀조차도 그들을 피해다니기 바쁘다고 합니다.
str_rumor_talki_renegade_7|[변절자들 소문]그는 상행단 마스터가 파이어즈 베인에서 변절자 기사단과 이교도 놈들이 섞여있었다는 소식을 들었다고 합니다. 그들은 많은 이교도를 학살했다고 합니다. 제가 들은 변절자 기사단 소문중 유일하게 좋은 소문이군요.
str_rumor_talki_renegade_8|[변절자들 소문]그는 살레온의 영주도 변절자 기사단과 싸우는것을 피한다고 합니다. 그들은 나쁜녀석들 이지만 치열한 전사들 입니다.
str_rumor_talki_renegade_9|[변절자들 소문]그는 상인이 그에게 말하길 변절자 기사단이 말레온 근처에서 많은 피난민들을 학살했다고 합니다. 그들은 그곳을 지나가며 쌓여 있는 시체를 발견 했다고 합니다.
str_rumor_talki_renegade_10|[변절자들 소문]그는 아벤도르의 한 친구로 부터 새로운 소식을 들었다고 합니다.새로운 변절자 기사단 군대가 있는데 그 군대는 펜도르의 한 영주의 아들이 이끌고 있다고 합니다. 그는 상속권을 위해 그의 형을 속이고 독살했다고 합니다. 그 이야기가 사실이라면, 변절자 기사단을 이끄는 것은 마땅하군요.
str_rumor_talki_renegade_11|[변절자들 소문]그는 레이븐스턴 시장에서 왕 그레고리가 변절자 기사단의 목을 가져오는 사람에게 큰 포상을 내리 겠다고 했다고 말했습니다. 그들은 요즘 레이븐스턴의 골칫거리 입니다.
str_rumor_talki_renegade_12|[변절자들 소문]그가 듣기로 제국의 황제 마리우스는 기사단에서 떨어져 나간 떠돌이기사단의 모든 무대를 죽여라고 말한 것을 들었다고 합니다. 그들은 뱀의 무리 만큼이나 악한 존재라고 합니다.
str_rumor_talki_renegade_13|[변절자들 소문]그는 변절자 기사중 한사람이 자신은 이전 용의기사중 한명이었고 , 자신의 질서를 불법 적으로 해산시킨 것에 대한 복수를 다짐했다고 말했습니다.
str_rumor_talki_renegade_14|[변절자들 소문]그가 듣기로 노예상인 라문이 변절자 기사단에게서 산 포로들은 학대의 흔적이 너무심해 재판매에 부적절하다는 소문을 들었다고 합니다.
str_rumor_talki_renegade_15|[변절자들 소문]그는 살레온의 집사에게로 부터 울릭왕이 변절자기사단 에게서 도망쳤다고 하는것을 들었다고 합니다. 왕은 소그룹의 귀족들과 함께 사냥을 즐기고 있었고 변절자 기사단의 습격을 예상치 못하고 있었다고 합니다.
str_rumor_talki_renegade_16|[변절자들 소문]그가 듣기로 붉은 형제단에 포로로 잡혀있던 변절자 기사단이 탈출해 자신들의 패배를 복수하기위해 {playername} 이라는 사람을 찾고있다고 합니다. 이 사람이 만약 당신이라면 조심하시길 바래요.
str_rumor_talki_renegade_17|[변절자들 소문]그는 살레온의 상인으로부터 놀도르가 라리아 근처의 변절자 기사단 군대를 학살하고 부상자들도 모두 죽였다는 소문을 들었다고 말했습니다. 그 놈들은 정말 좋은일을 하는군요. 저는 놀도르가 좋아요.
str_rumor_talki_renegade_18|[변절자들 소문]그는 제국군단병으로 부터 변절자 기사단의 한 무리가 체즈 근처에 있는 마을을 급습했으며 여자와 함께 그마을을 불질렀다고 합니다.
str_rumor_talki_renegade_19|[변절자들 소문]그는 포인스브룩의 수도원장의 이야기를 들었다고 합니다. 무법자 기사단의 대부분이 펜도르에서 왔다며 주장하지만 사실 위장한 외국인 이라고 합니다. 그레서 그들 중 누구라도 가족의 명예나 안전에 관심이 있다고 믿는것은 어렵다고 합니다.(maybe)
str_rumor_talki_renegade_20|[변절자들 소문]그는 야노스 부근에서  변절자 기사단 부대가 뱀의 무리와 제국의 전투에서 뱀의 무리의 편에서서 제국과 싸웠다고 합니다. 물론 그들은 승자를 외면합니다.
str_rumor_talki_special_1|[특이한 소문] 그가 말하길 음유 시인을 만났는데 음유시인의 말에 의하면 미친 예언자인 마디간의 묘를 덮은 꽃은 결코 시들지 않고 죽지도 않는다고 합니다.
str_rumor_talki_special_2|[특이한 소문] 그는 미스터리한 이야기라고 불리는 방랑자를 만난 적이 있다고 합니다. 잘 감춰진 광산을 미친 노인들이 지키고 있었다고 합니다. 한 명은 실력 좋은 대장장이로 경이로운 무기들을 만들어낸다고 합니다. 그리고 다른 한명은 와인 애호가라고 합니다.
str_rumor_talki_special_3|[특이한 소문] 그가 듣기로 소금만큼의 가치도 없는 전사들을 훌륭한 전사로 길러내는 트레이너가 아직 있다고 말합니다.
str_rumor_talki_special_4|[특이한 소문] 그가 상인을 만났는데 상인이 말하길 드래곤의 눈물을 주면 3000디나르를 주겠다고 합니다. 그는 상인이 무슨 말을 하는지 전혀 이해가 가지 않았습니다. 일단 펜도르에는 살아있는 드래곤이 없거든요. 게다가 모든 사람이 아는 사실인데 드래곤은 울지 않습니다.
str_rumor_talki_special_5|[특이한 소문] 그는 상단에 있는 여럿 용병들과 대화를 가졌다고 합니다. 그들이 모두 동의하길 전쟁 상황이 점점 더 나빠지면, 음식 부족 현상이 일어난다고 합니다. 
너무 많은 농부가 군대에 있고 충분한 양의 인력이 밭에 없으니까.
str_rumor_talki_special_6|[특이한 소문] 그가 말하길 언젠가 그가 무기 상점에 방문했을 때 질 높은 놀도르 룬 검이 있는 것을 보고 경악했다고 합니다. 상인은 그가 살고 있는 마을의 1년 총수입보다 많은 데나르를 가격으로 걸어두었습니다.
str_rumor_talki_special_7|[특이한 소문] 그가 말하길 그는 지난 6달 동안 더 많은 외지인이 펜도르에 왔다는 것을 눈치 챘다고 합니다. 그들은 보통 집단으로 왔고 발론브라이에 상륙했습니다.
str_rumor_talki_special_8|[특이한 소문] 그가 말하길  어느 날 그에게 상단의 용병이 다가오더니 혹시 보물지도를 사고 싶지 않냐고 하더랍니다.
str_rumor_talki_special_9|[특이한 소문] 누군가 저에게 읆조린 이야기인데 큰 맥주잔에 담겨진 맥주가 펜도르의 사교도의 진짜 근원이랍니다! 그가 주장하는 바에 따르면 라오레아 라는 여성이 첫 번째 남편을 애석해하는 중에 두 번쨰 남편에 실망한 것이 사교의 원점이라 합니다.
str_rumor_talki_special_10|[특이한 소문] 우리가 밤에 천막을 쳤을 때, 그는 스탭지대의 불꽃이라 불리는 하다락 타니스에 관한 슬픈 이야기를 노래했습니다. 그가 드샤르 땅에서 어떻게 싸우고 죽었는가를.
str_rumor_talki_special_11|[특이한 소문] 그는 그리폰 기사단과 칼라타르가 어떻게 그것을 처음으로 재발견했는지 말해줬습니다.
str_rumor_talki_special_12|[특이한 소문] 그리고 우리가 파이프를 꺼내 불을 붙였을 때, 그의 이야기는 왈븐의 아르보게스트의 어두운 이야기로 접어들었습니다. 저는 그 날 잠을 잘 잘수가 없었습니다.
str_rumor_talki_special_13|[특이한 소문] 그가 말하길 그의 조부는 327년의 레인 대전투에서 핸드릭 더 크루엘의 아버지와 함께 싸웠다고 합니다. 그리고 레인의 상속자를 이교도 파괴자들로부터 구했다고 합니다. 그 결과 핸드릭은 유명해졌고, 그의 조부는 술주정뱅이로 전락해서 최후에는 목을 맸다고 합니다.
str_rumor_talki_special_14|[특이한 소문] 그는 올드 오크 상단에 있던 시절 유명했었다고 합니다. 듀락의 이름을 언급만 하면 붉은 형제단 쓰레기들 같은 놈들은 엄마를 부르짖으며, 울면서 달아났다고 합니다.
str_rumor_talki_special_15|[특이한 소문] 그가 말하길 시인이 노래하는 에실론 이야기를 들었다고 합니다. 늙었지만 용감한 전사는 눈 덮인 레이븐 스턴에서 그의 마지막 전투를 승리로 마치고 부상으로 숨졌다고 합니다.
str_rumor_talki_special_16|[특이한 소문] 그리고 그가 말하길 누저라는 이름의 어떤 얼간이는 물고기 기사를 봤다고 주장했습니다! 그 후 오랫동안 누구도 그를 본 적이 없다고 합니다!
str_rumor_talki_special_17|[특이한 소문] 맥주에 너무 취한 그는 자신하고 마리우스가 어떻게 핸드릭 더 크루엘에게 잡혔는지 설명해주었습니다. 그 후 나온 이야기는 제국의 귀에 가장 들어가면 안 되는 이야기였습니다.
str_rumor_talki_special_18|[특이한 소문] 그는 노래하길 그의 마지막 노래는 저를 위해 연주한다고 합니다? 추적의 노래를요. 살인 이야기는 어떤 법정에서든 내려가는 일이 없지만, 전 차라리 그 이야기가 저것보다는 좋을 것 같습니다.
str_rumor_talki_special_19|[특이한 소문] 그가 말하길 한 번은 마치 암흑성 같은 말을 본 적 있다고 합니다. 불행하게도 그에게는 말을 살 돈이 없었습니다. 저는 하나도 놀랍지 않습니다. 위험부담이 높은 도박에 약했거든요.
str_rumor_talki_special_20|[특이한 소문] 그가 말하길 그는 코레이 더 슬레이브의 이야기를 들어본 적이 있다고 합니다.4명의 마법사로 하여금 물을 찾게 한 이야기. 마법사들은 전부 화형대에서 불타야 합니다. 그 편이 모두에게 좋아요!
str_rumor_talki_special_21|[특이한 소문] 그는 그리 오래되지 않는 과거의 달밤에 대해 말했습니다. 물고기 기사가 그들의 불을 공유했을 때의 이야기를 말입니다. 그들은 그를 알아보지 못했습니다. 그가 복수의 형태라는 놔두고 떠날 때까지는.
str_rumor_talki_special_22|[특이한 소문] 그는 드샤르 땅의 윈드투스 부족이 가진 이상한 습관에 대해 말해줬습니다. 저는 그들이 혼합된 사회로 들어오면 안 된다는 말을 제발 반복하지 않기를 기대합니다.
str_rumor_talki_special_23|[특이한 소문] 그가 말하길 그는 반스케리 강도단들이 섬기는 수수께끼의 신에 관해 들어본 적이 있다고 합니다. 그 이교도 파괴자들이 환호하는 무언가는 색슨 드래곤이라고 불린다고 합니다. 모두들 알다시피 이제는 어떤 드래곤도 살아있지 않습니다.
str_rumor_talki_special_24|[특이한 소문] 그가 말하길 그는 사원의 수다스러운 수도자들이 장로가 키우던 늙은 박쥐의 글에 대해 토론하는 것을 들어본 적이 있다고 합니다. 그들은 파우지아라고 불렸습니다. 그들은 필경사이자 구시대의 깔개 상인들이었습니다.
str_rumor_talki_special_25|[특이한 소문] 그가 말하길 알란 더 아머러의 마지막 작업은 경이의 눈으로 계속 볼 수밖에 없었다고 합니다. 하지만 계속 보고 있을 여유가 없었다고 합니다!
str_rumor_talki_special_26|[특이한 소문] 로드 팔드에 관한 감동적인 이야기를 들었습니다. 그의 영지 중 한 마을이 약탈당해 가보았더니 폐허속에 한 여자 아이가 살아 있었습니다. 그는 의사를 불러 아이를 치료해주었고 그의 딸로서 입양해 주었다고 합니다. 지금까지 그녀를 숨겨 키워왔는데 그녀가 입은 상처 때문이라고 하네요.
str_rumor_talki_special_27|[특이한 소문] 그가 말하길 반스케리 강도단이 발론 브라이의 술집으로 걸어 들어왔고 술집 주인은 그들에게 그들의 차림새가 끔찍하다고 말했습니다. 반스케리가 말하길 ‘무슨 소리야? 난 괜찮다고.’ “글세,새 나무 다리는 뭔데?” ‘피어드스바인 허스칼이 도끼로 이렇게 만들어 줬어’ ‘그럼 당신에게 손 대신 달려있는 갈고리는?’ ‘검투 장소에서 손을 잃었어, 그러니 대신 갈고리를 달았지’‘그 눈을 가리는 안대는 뭐고?’‘갈매기 한 무리가 우리 배 위를 지나갔어. 난 실수로 그것들을 올려다봤고 갈매기 한 마리가 내 눈에 충돌했지.’ ‘그럼 눈을 갈매기에게 잃은 거야?’ ‘그러게, 갈고리 단 지도 딸랑 이틀 되었는데...’
str_rumor_talki_special_28|[특이한 소문] 그가 말하길 살레온의 영주가 포위 작전을 위해 성을 떠나면서 집사에게 말을 했다고 합니다. ‘여기 내 아내의 정조대 열쇠라네, 만약 내가 1달내에 못돌아온다면, 이것을 이용해서 그녀를 자유롭게 만들어도 좋네’ 영주는 먼지가 자욱한 길로 나섰습니다. 머리부터 발끝까지 완전무장하고요. 그가 마지막으로 그의 성을 바라봤을 때 그의 집사가 그를 향해 뛰어오는 것을 발견했습니다. 집사는 이렇게 말했습니다. ‘멈추십시요! 멈추세요! 영주님을 만날 수 있어서 정말 다행입니다. 이것은 잘못된 열쇠입니다’
str_rumor_talki_special_29|[특이한 소문] 어느 시인이 그에게 말해준 이야기랍니다. 제국의 군단이 야노스로 귀환했습니다. 포로와 그들의 승리로 얻은 막대한 전리품과 함께요. ‘나에게 자네들의 전투를 알려주게’ 황제 마리우스는 말했습니다. ‘네, 전하. 우리는 몇 주동안 전하를 위해 승리했습니다. 서쪽에 있는 적들의 촌락을 불태우고 약탈했습니다.’ 늙은 마리우스는 섬뜩해졌습니다. ‘하지만 난 현재 서쪽에 적이 없다네’ 그가 말하자. ‘글세요’ 군단병도 말했습니다. ‘이젠 있습니다’
str_rumor_talki_special_team_1|[특이한 집단 소문] 그는 하지 바다르라는 드샤르에 관한 이야기를 들었다고 합니다. 그는 ‘코딩’이란 것 때문에 미쳐버렸다고 합니다. 그게 무엇인지 알겠어요? 들리기로는 혐오스런 드샤르 말로 들리는데. 그 안에 ‘코드’란 말이 있기 때문입니다.
str_rumor_talki_special_team_2|[특이한 집단 소문] 그는 살레온의 종자가 심연에 빠져 교수형 집행관에게서 도망칠 수 있었다고 합니다. 이 일은 여러모로 절 짜증나게 만드는 군요.
str_rumor_talki_special_team_3|[특이한 집단 소문] 그는 젊은 동행자인 엔디미온에 관해 이야기 해주었습니다. 잘생긴 양치기는 엉덩이를 내보이는 그의 양들을 붙잡았다고 합니다. 레이븐스턴에서 온 게 틀림없어요 – 당신도 알다시피 그들의 평판은 양과 똑같잖아요.
str_rumor_talki_special_team_4|[특이한 집단 소문] 그가 말하길 카무스란 사람이 그의 글 ‘르 미 드 시지피’에 관해 물어 보길래 개구리가 횡설수설 하는 소리 같은 것을 적어놓은 것 같다고 말했답니다. 당치도 않은 소리!
str_rumor_talki_special_team_5|[특이한 집단 소문] 그가 듣기론 탈론이라는 새로운 강도가 자유로운 상태랍니다. 그는 나이든 외모에 매부리코를 가지고 있다고 합니다. 소문에 의하면 그는 위험한 카페인 중독자라고 합니다.
str_rumor_talki_special_team_6|[특이한 집단 소문] 그는 당신의 변소가 꽉찰경우 게르하르트 라고하는 늪지대에 있는 전문가를 불러야 한다고 일러 주었습니다. 그는 펜도르에서 그러한 직업에서 진짜 전문가로 유명하다고 합니다
str_rumor_talki_special_team_7|[특이한 집단 소문] 그가 말하길 게리슨이 새로운 궁수를 얻었는데 이름이 정말 특이하답니다. 칙키-식키 이거나 그 비슷한 이름이랍니다. 그는 그의 활로 잘 지원해준다고 합니다. 그의 이상한 이름에도 불구하고요.
str_rumor_talki_special_team_8|[특이한 집단 소문] 그가 말하길 아스테라의 사제인 제임스 목사라는 사람이 있었다고 합니다. 그는 정기적으로 스스로 상륙을 했는데 문제가 있었습니다. 아무도 설교의 내용을 이해하지를 못한다는 것이었습니다. 사제라는 사람들의 말은 전부 이상하고 그들의 문자는 비단뱀만큼이나 꾸불꾸불했습니다.
str_rumor_talki_special_team_9|[특이한 집단 소문] 그가 말하길 그의 친구인 모드레드는 모든 시간을 생각하는데 사용한다고 합니다. 만약 당신이 그를 혼자 내버려두면 그는 그의 생각에 당신도 끌고 들어간다고 합니다. 그가 말하길 아무것도 아니다 라는 생각은 저 젊은이에게 결코 단순한 문제가 아니라고 합니다. 비록 모드레드는 그에게 시간을 물어보긴 하지만 계속해서 반복함으로써 문제를 단순화한다고 합니다.
str_rumor_talki_special_team_10|[특이한 집단 소문] 그는 토끼 덫에서 어민(북방 족제비)을 잡았다고 합니다. 그 생물은 혀가 다르게 생겼으며 말을 한다고 이야기 했습니다. 그는 그런일이 일어날수 있을 정도로 그 영주는 취해있었음에 틀림없겠군요.
str_rumor_talki_special_team_11|[특이한 집단 소문] 그는 완벽 주의자인 조용한 방어구 상인에 대해 나에게 말했습니다. 그의 갑옷은 천사가 만들어 준 것만같은 느낌을 받을 정도로 좋다고 하는데요. 불행히도 그는 먼 땅으로 이주를 할 예정이라고 합니다. 펜도르는 최고의 기술자를 잃겠군요.
str_rumor_talki_myst_1|[신비산 소문]그는 또 다른 마을 민병대가 신비산추종자에게 습격을 당했다고 전했고 이 일을 이번주에만 두번이 있었다고 합니다. 이것은 무엇인가의 징조 일까요? 우리는 레인도시가 포위된 이후 신비산 새력의 위협을 느끼지 못했는데 말이죠.
str_rumor_talki_myst_2|[신비산 소문]그는 포인스브룩의 상행단이 신비산 추종자와 자투기수의 동시 습격을 당했다고 합니다. 그는 그들이 동맹이라고 말하지 않았겟습니까? 일단 상행단 수비병이 그들은 데리고 나왔을때 그들은 전리품을 차지하기위해 서로 싸웠다고 합니다.
