qstr_Next_Page|Next Page
qstr_The_life_of_a_bard_i|The life of a bard in the service of the noble can be tenuous. Your patron, a powerful Duke of Barclay, was fond of your company and prose. Unfortunately, as a Duke, he had very powerful enemies. When the Duke's enemies out maneuvered him politically and had him declared a traitor to the Realm, many of his vassals, including you, were forced to flee Barclay or fall victim to the headsman axe. Purchasing passage on the first ship out of Barclay, you find that it is headed for the lands of Pendor...
qstr_The_life_of_a_healer|The life of a healer can be difficult. When a powerful but gravely ill patient passes away unexpectedly, his sons declared 'Kan Devasi' on you, believing that you were responsible for his death. Knowing that they will not stop until you are dead, you elect to leave Barclay and start life again in the lands of Pendor...
qstr_The_life_of_a_mercha|The life of a merchant can be trying. When a powerful leader of the local Red Brotherhood decided that you are in the way of his success, he broke brotherhood rules and began a campaign to drive you out of business. After a significant loss of coin and the deaths of most of your guards, you deem it wise to leave Barclay on the next ship, which happens to be bound for Pendor...
qstr_The_life_of_an_engin|The life of an engineer can be trying. When a powerful leader of the local Red Brotherhood decided that you are in the way of his plans and put a bounty on your head, life swiftly became unpleasant. Luckily, some fast talking at the right time allowed you to slip past his thugs. You deem it wise to leave Barclay while you can, and so you book passage on the next ship, which happens to be bound for Pendor...
qstr_After_capturing_a_da|After capturing a dangerous fugitive for the local sheriff, you were forced to kill him as he tried to escape. Unfortunately, the criminal's brothers, all of them associated with the Red Brotherhood, did not take this well and combined their efforts towards avenging their sibling. You know it is only a matter of time before you will be killed by one of them, so you decide that it wise to leave Barclay on the next ship, which happens to be bound for Pendor...
qstr_The_letter_reads____|The letter reads - 'My {s14}, I am proud of the {s16} you have become. It is with a heavy heart that I must tell you that your path in life was dictated to you the moment you were born. You see, my {s14}, your mother is of ancient noble lineage, and in your veins flows the blood of the old Kings of Pendor. We fled Pendor all those years ago not because our house and fortunes were lost or displaced, but because we feared discovery by dark and evil powers who would end the true line of Pendor. Be warned, my {s14}, there are those who are actively seeking your death, and with your demise the line of heirs to the silver throne of Pendor will be broken forever. Forgive us for not telling you this sooner. Those that suspect that you and your mother live are here, in Barclay, and are seeking your location with fell intent. Your mother and I have gone into hiding, but there are assassins - and worse - that are even now searching for you. Take Heed! My advice is to leave Barclay as soon as possible and sail to Pendor. There you will find dangers, but you may also find answers, and with any luck you, or your sons or daughters, may be able to reclaim that which was lost. In any case, be well, my {s14}, and be safe in your travels. Sincerely - Your Father' And so, heart heavy and head spinning, you set sail for Pendor...
qstr_The_letter_reads____M|The letter reads - 'My {s14}, I am proud of the {s16} you have become. It is with a heavy heart that I must tell you that your path in life was dictated to you the moment you were born. You see, my {s14}, your mother is of ancient noble lineage, and in your veins flows the blood of the old Kings of Pendor. We fled Pendor all those years ago because your mother feared discovery by dark and evil powers who would end the true line of Pendor. Be warned, my {s14}, there are those who are actively seeking your death, and with your demise the line of heirs to the silver throne of Pendor will be broken forever. Forgive us for not telling you this sooner. Those that suspect that you and your mother live are here, in Barclay, and are seeking your location with fell intent. Your mother and I have gone into hiding, but there are assassins - and worse - that are even now searching for you. Take Heed! My advice is to leave Barclay as soon as possible and sail to Pendor. There you will find dangers, but you may also find answers, and with any luck you, or your sons or daughters, may be able to reclaim that which was lost. In any case, be well, my {s14}, and be safe in your travels. Sincerely - Your Father' And so, heart heavy and head spinning, you set sail for Pendor...
qstr_The_letter_reads____My|The letter reads - 'My {s14}, I am proud of the {s16} you have become. It is with a heavy heart that I must tell you that your path in life was dictated to you the moment you were born. You see, my {s14}, your mother is of ancient noble lineage, and in your veins flows the blood of the old Kings of Pendor. I first met your mother as she was fleeing dark and evil forces who sought to end the true line of Pendor, and we fled Pendor all those years ago because we feared discovery. Be warned, my {s14}, there are those who are actively seeking your death, and with your demise the line of heirs to the silver throne of Pendor will be broken forever. Forgive us for not telling you this sooner. Those that suspect that you and your mother live are here, in Barclay, and are seeking your location with fell intent. Your mother and I have gone into hiding, but there are assassins - and worse - that are even now searching for you. Take Heed! My advice is to leave Barclay as soon as possible and sail to Pendor. There you will find dangers, but you may also find answers, and with any luck you, or your sons or daughters, may be able to reclaim that which was lost. In any case, be well, my {s14}, and be safe in your travels. Sincerely - Your Father' And so, heart heavy and head spinning, you set sail for Pendor...
qstr_The_letter_reads____My_|The letter reads - 'My {s14}, I am proud of the {s16} you have become. It is with a heavy heart that I must tell you that your path in life was dictated to you the moment you were born. You see, my {s14}, your mother was of ancient noble lineage, and in your veins flows the blood of the old Kings of Pendor. I was hired to find and kill her for precisely that reason. When I found her after years of searching, she was near death and you were swaddled in her arms. I did not have it in me to end her life, much less yours. My healing arts were not sufficient to save her, so I made it look as if I had killed her, collected the reward and then disappeared to raise you. I do not ask your forgiveness, only your understanding that sometimes a man is forced down a path not of his choosing. I know first-hand that there are those who are seeking you to end your life, as I have now come across those who seek to kill me for my failure to take your life as an infant. I have dealt with one initial group looking for us here in Barclay, and have wounds to heal for my trouble. I know there are many more out there, and that they will not stop until both of us are dead. I have gone into hiding; my part in your life is done, so do not try to find me. Take heed! My advice is to leave Barclay as soon as possible and sail to Pendor. In any case, be well and be safe in your travels. Regards-'  And so, heart heavy and head spinning, you set sail for Pendor...
qstr_The_letter_reads____My_{|The letter reads - 'My {s14}, I am proud of the {s16} you have become. It is with a heavy heart that I must tell you that your path in life was dictated to you the moment you were born. You see, my {s14}, your mother and I are not your real parents. You came to us when you were a newborn, from a noblewoman fleeing for her life from Pendor. She was fearful that her time was limited, and did not want you to share her fate. She told us she was of ancient noble lineage, the great-grandchild of the only true surviving member of the royal Pendorian line of Kings. After she gave you to us we found her along the road the next day near death, having been stabbed multiple times. Our healing arts were not sufficient to save her, so we buried her at the local church and took you in as if you were our child. We are sorry we did not tell you this before, and ask your understanding that what we have done was for your own protection. We tell you this now as we fear that those who took your mother's life have returned. We have been followed, and have heard of hooded men asking questions about our travels and our routes. More concerning are the questions they ask about you and your age. We fear that they mean you harm or worse. We have gone into hiding and feel that we will be safe. However, you should not stay in Barclay. Flee! Flee to the lands of Pendor and seek answers. In any case, be well and be safe in your travels. With love always - you will always be our {s14} - Your Father'  And so, heart heavy and head spinning, you set sail for Pendor...
qstr_Back_to_the_beginnin|Back to the beginning...
qstr_View_next_segment...|View next segment...
qstr_^No_food:___{reg7}|^No food:  -{reg7}
qstr_^Wage_debt:___{reg6}|^Wage debt:  -{reg6}
qstr_{s2}^{s4}:_Econ:_{re|{s2}^{s4}: Econ: {reg1} - Prosperity: {reg2} {s50} 
qstr_Currently_no_locatio|Currently no locations owned.
qstr_The_current_fief_inc|The current fief income is: ^{s2}
qstr_{s2}^{s4}:_{s10}_in_|{s2}^{s4}: {s10} in {reg8} {reg10?day:hour}{reg9?s:}.
qstr_{s2}^{s4}:_Building_|{s2}^{s4}: Building {s10} in {reg8} {reg10?day:hour}{reg9?s:}.
qstr_{s2}^{s4}:_No_constr|{s2}^{s4}: No construction.
qstr_Current_construction|Current construction at your fiefs: ^{s2}
qstr_Long_Forgotten|Long Forgotten
qstr_Defending_the_King_s|Defending the King's Honor
qstr_The_Dragon_s_Fire_Gr|The Dragon's Fire Grows Cold
qstr_The_Windriders_bow_t|The Windriders bow to the Gale
qstr_The_Shieldwall_is_Pi|The Shieldwall is Pierced
qstr_The_Emperor_s_Will_i|The Emperor's Will is Weak
qstr_A_Fledgeling_Hope_fo|A Fledgeling Hope for Pendor
qstr_Very_Weak|Very Weak
qstr_Resisting_in_the_Kin|Resisting in the King's Name
qstr_The_Dragon_s_Wings_a|The Dragon's Wings are Clipped
qstr_The_Windriders_fear_|The Windriders fear the Wind
qstr_The_Shieldwall_Buckl|The Shieldwall Buckles
qstr_The_Emperor_s_Will_W|The Emperor's Will Wavers
qstr_Promising_Madigan_s_|Promising Madigan's Dream
qstr_Weak|Weak
qstr_Strong_under_the_Kin|Strong under the King's Banner
qstr_The_Dragon_is_Defian|The Dragon is Defiant in the North
qstr_The_Windriders_are_F|The Windriders are Fiercely United
qstr_The_Shieldwall_Holds|The Shieldwall Holds
qstr_The_Emperor_s_Will_is|The Emperor's Will is Law
qstr_Fulfilling_the_Proph|Fulfilling the Prophecy
qstr_{s6}^The_{s1}:_{s2}|{s6}^The {s1}: {s2}
qstr_Training_your_Order_|Training your Order troops.
qstr_On_loan|On loan,
qstr_Appoint_next_marshal|Appoint next marshal
qstr_Award_{s12}_as_fief|Award {s12} as fief
qstr_No_one|No one
qstr_Selected_faction_is:|Selected faction is: {s10}^^{s9}
qstr_You_are_currently_re|You are currently reading {s8}.
qstr_You_are_not_reading_|You are not reading any books.
qstr__{s9}_^^_You_have_th| {s9} ^^ You have the ability to train Knights of the Griffon due to your clear birthright.
qstr_none|none
qstr_{s5}_and_{s6}|{s5} and {s6}
qstr_Your_estates_are:_{s|Your estates are: {s8}.^{s9}
qstr_Honorary_Grandmaster|Honorary Grandmaster
qstr_{s8}__{reg1}_|{s8} ({reg1})
qstr_You_are_a_{s8}_of_th|You are a {s8} of the Order of the {s12}.^{s9}
qstr_You_are_the_sovereig|You are the sovereign {reg63?King:Queen} of the {s8}, embracing the culture of {s7}.^{s9} ^ You have {reg1} Noble Recruits.
qstr_You_are_a_lord_of_th|You are a lord of the {s8}.^{s9} ^ You have {reg1} Noble Recruits.
qstr_You_are_a_Rogue_Lead|You are a Rogue Leader of the {s8}.^{s9}
qstr_You_are_a_Mercenary_|You are a Mercenary Captain in the service of the {s8}.^{s9}
qstr_You_are_a_Mercenary_C|You are a Mercenary Captain.^ {s9}
qstr_{s9}_^_You_won_{reg3|{s9} ^ You won {reg33} Noldor Tournament.
qstr_{s9}_^_You_won_{reg33|{s9} ^ You won {reg33} Noldor Tournaments.
qstr_Current_party_size_l|Current party size limit is {reg5}.^Current party size modifiers are:^^Base size:  +10^Leadership: {s2}{reg1}^Charisma: {s3}{reg2}^Renown: {s4}{reg3}^TOTAL:  {reg5}
qstr_{s2}^The_{s4}:_{reg1|{s2}^The {s4}: {reg1} ({s33})
qstr_{s2}^|{s2}^
qstr_{s2}^{s4}:_{reg1}__{|{s2}^{s4}: {reg1} ({s33})
qstr_Your_relations_with_|Your relations with the factions are:^{s2}
qstr_Your_relations_with_t|Your relations with the Orders are:^{s2}
qstr_6_new_units_joined_t|6 new units joined the party
qstr_1_million_xp_receive|1 million xp received
qstr_Companion_complaints|Companion complaints are disabled
qstr_Companion_complaints_|Companion complaints are enabled
qstr_Cheat_mode_has_been_|Cheat mode has been disabled
qstr_Player_renown_is_inc|Player renown is increased by 100. 
qstr_Player_honor_is_incr|Player honor is increased by 1 and it is now {reg7}.
qstr_GM_quest_ready:_talk|GM quest ready: talk to the {s12} for a surprise.
qstr_Report_back_to_the_O|Report back to the Order with your findings about Cult activity near {s8}.
qstr_Random_order_of_the_|Random order of the {s12} created in Kennet Castle. 100 {s13}s recruited.
qstr_Random_order_of_the_{|Random order of the {s12} created in {s14}. 5 {s13}s recruited.
qstr_Noldor_castle_access|Noldor castle accessible
qstr_Noldor_relation_set_|Noldor relation set to 30
qstr_OFF|OFF
qstr_Standard|Standard
qstr_Special|Special
qstr_Economy|Economy
qstr_Politics|Politics
qstr_ERROR|ERROR
qstr_Your_{s12}_have_acqu|Your {s12} have acquired new {s11}!
qstr_10_Order_Knights_and|10 Order Knights and 10 Order Squires joined the party
qstr_{s4}:_{reg0}|{s4}: {reg0}
qstr_##_{s9}_average_stre|## {s9} average strength: {reg1}
qstr_####_Overall_average|#### Overall average strength: {reg1}
qstr_{s4}:_strength_{reg0|{s4}: strength {reg0}
qstr_Limits_set_to_0_0!|Limits set to 0-0!
qstr_Limits_set_to_50_50!|Limits set to 50-50!
qstr_Limits_set_to_100_10|Limits set to 100-100!
qstr_The_Hundred|The Hundred
qstr_The_Hundred_are_upon|The Hundred are upon you!
qstr_You_have_now_made_en|You have now made enemies with all lords and all orders... visit some taverns now... 
qstr_Daughter_waiting_to_|Daughter waiting to be rescued, talk to a village elder.
qstr_Peasants_waiting_to_|Peasants waiting to be escorted, talk to a village elder.
qstr_Bounties_await_talk_|Bounties await, talk to a friendly Order guard.
qstr_Prices_reset.|Prices reset.
qstr_Grain_price_in_{s4}:|Grain price in {s4}: {reg1} U {reg2} {reg3} {reg4} A {reg5} {reg6}.
qstr_Bread_price_in_{s4}:|Bread price in {s4}: {reg1} U {reg2} {reg3} {reg4} A {reg5} {reg6}.
qstr_Villages_per_town:_m|Villages per town: market (bound)^
qstr_{s2}^{s5}:_{reg1}__{|{s2}^{s5}: {reg1} ({reg2})
qstr_{s2}^^Total_villages|{s2}^^Total villages: {reg1} (Bound: {reg2})
qstr_{s2}^{s10}:_{reg6}__|{s2}^{s10}: {reg6} (Prod:{reg3}/{reg4} Price:{reg5})
qstr_{s5}_{s3}|{s5} {s3}
qstr_Report_for_{s4}:^Eco|Report for {s4}:^Economy: {reg1}^Prosperity: {reg2}[{reg4}] {s50}^Hardship: {reg3}^Market villages: {s3}^{s2}
qstr_{s2}^{s4}:_E:_{reg1}|{s2}^{s4}: E: {reg1} P: {reg2}[{reg4}] H: {reg3}
qstr_Average_prices_in_Pe|Average prices in Pendor [Prod/Cons]^
qstr_{s2}^{s10}:_{reg6}_[|{s2}^{s10}: {reg6} [{reg12}/{reg13}]
qstr_Noldor_relations_set|Noldor relations set to 30.
qstr_Noldor_relations_set_|Noldor relations set to 15.
qstr_Noldor_relations_set_t|Noldor relations set to -10.
qstr_Noldor_castle_accessi|Noldor castle accessible.
qstr_Noldor_quest_reset.|Noldor quest reset.
qstr_Noldor_tournament_st|Noldor tournament started.
qstr_One_week_s_worth_of_|One week's worth of new inventory added
qstr_You_have_been_presen|You have been presented with an exquisite {s21} from the Noldor Council.
qstr_{s8}|{s8}
qstr_Generated_quest_#{re|Generated quest #{reg0} in {s4} - notification pending
qstr_All_achievements_giv|All achievements given. Check report.
qstr_All_achievements_cle|All achievements cleared.
qstr_Notifications_queued|Notifications queued. Should trigger anytime now.
qstr_10_Dragon_troops_joi|10 Dragon troops joined the party
qstr_10_Squires_of_the_Li|10 Squires of the Lion joined the party
qstr_10_Empire_Mortals_jo|10 Empire Mortals joined the party
qstr_10_D_Shar_Dustriders|10 D'Shar Dustriders joined the party
qstr_10_Lady_Einherjar_jo|10 Lady Einherjar joined the party
qstr_10_Knights_of_the_Gr|10 Knights of the Griffon joined the party
qstr_10_Knights_and_Talon|10 Knights and Talons of the Falcon joined the party
qstr_10_Ravenspear_knight|10 Ravenspear knights joined the party
qstr_10_Radiant_Cross_Kni|10 Radiant Cross Knights joined the party
qstr_10_Rangers_of_the_Cl|10 Rangers of the Clarion Call joined the party
qstr_10_Knights_of_the_Da|10 Knights of the Dawn joined the party
qstr_10_Knights_of_the_Eb|10 Knights of the Ebony Gauntlet joined the party
qstr_10_Shadow_Legion_Mar|10 Shadow Legion Marinae joined the party
qstr_10_Silvermist_Ranger|10 Silvermist Rangers joined the party
qstr_10_Knights_of_Eventi|10 Knights of Eventide joined the party
qstr_Added_Ghost_Lady|Added Ghost Lady
qstr_100_Heroine_Adventur|100 Heroine Adventurers joined the party
qstr_100_Hero_Adventurers|100 Hero Adventurers joined the party
qstr_100_Jatu_Mercenary_R|100 Jatu Mercenary Riders joined the party
qstr_100_Marleons_Heavy_C|100 Marleons Heavy Cavalry joined the party
qstr_100_Ravenstern_Highl|100 Ravenstern Highlanders joined the party
qstr_100_D_Shar_Djaha_Arc|100 D'Shar Djaha Archers joined the party
qstr_100_Fierdsvain_Berse|100 Fierdsvain Berserkers joined the party
qstr_100_Noldor_Twilight_|100 Noldor Twilight Knights joined the party
qstr_100_Noldor_Maiden_Ra|100 Noldor Maiden Rangers joined the party
qstr_100_Noldor_Rangers_j|100 Noldor Rangers joined the party
qstr_100_K_Juda_s_Kajahar|100 K'Juda's Kajahars joined the party
qstr_100_Doomguides_joine|100 Doomguides joined the party
qstr_100_Omen_Seekers_joi|100 Omen Seekers joined the party
qstr_A_specialty_troop_ha|A specialty troop has joined the party
qstr_100_Dread_Legion_Inf|100 Dread Legion Infantry joined the party
qstr_100_Anaconda_Knights|100 Anaconda Knights joined the party
qstr_100_Fallen_Revenants|100 Fallen Revenants joined the party
qstr_100_Demonic_Magni_jo|100 Demonic Magni joined the party
qstr_100_Heretic_Invokers|100 Heretic Invokers joined the party
qstr_A_Mettenheim_company|A Mettenheim company has joined your party
qstr_A_Barclay_company_ha|A Barclay company has joined your party
qstr_A_Veccavian_company_|A Veccavian company has joined your party
qstr_A_Melitine_company_h|A Melitine company has joined your party
qstr_A_Singalian_company_|A Singalian company has joined your party
qstr_A_Sarleon_Company_ha|A Sarleon Company has joined the party
qstr_A_Ravenstern_Company|A Ravenstern Company joined the party
qstr_A_D_Shar_Company_joi|A D'Shar Company joined the party
qstr_A_Fierdsvain_Company|A Fierdsvain Company joined the party
qstr_An_Empire_Company_jo|An Empire Company joined the party
qstr_A_Pendor_Company_has|A Pendor Company has joined the party
qstr_Patrolling_Kick_Ass_|Patrolling Kick-Ass Knights
qstr_Eventide_Knight_Patr|Eventide Knight Patrol spawned
qstr_Dawn_Knight_Patrol_s|Dawn Knight Patrol spawned
qstr_Ebony_Knight_Patrol_|Ebony Knight Patrol spawned
qstr_Vanskerries_spawned|Vanskerries spawned
qstr_Heretics_spawned|Heretics spawned
qstr_Snake_Cult_spawned|Snake Cult spawned
qstr_Mystmountains_spawne|Mystmountains spawned
qstr_Jatu_spawned|Jatu spawned
qstr_Noldor_Patrol_spawne|Noldor Patrol spawned
qstr_Inquisition_Army_spa|Inquisition Army spawned
qstr_Peasant_Revolt_Army_|Peasant Revolt Army spawned
qstr_Three_Seers_spawned|Three Seers spawned
qstr_Alaric_Von_Brouhaha_|Alaric Von Brouhaha spawned
qstr_Boris_the_Raven_spaw|Boris the Raven spawned
qstr_Burilgi_the_Usurper_|Burilgi the Usurper spawned
qstr_Dread_Legion_spawned|Dread Legion spawned
qstr_Eyegrim_the_Devourer|Eyegrim the Devourer spawned
qstr_Oswald_de_Fleur_spaw|Oswald de Fleur spawned
qstr_Sheik_Shalavan_spawn|Sheik Shalavan spawned
qstr_Wolfbode_the_Slayer_|Wolfbode the Slayer spawned
qstr_Syla_Uzas_spawned|Syla Uzas spawned
qstr_Griffonsword_spawned|Griffonsword spawned
qstr_Kodan_Ironsword_spaw|Kodan Ironsword spawned
qstr_Aeldarian_spawned|Aeldarian spawned
qstr_Ithilrandir_spawned|Ithilrandir spawned
qstr_K_Juda_the_Ravager_s|K'Juda the Ravager spawned
qstr_Warlord_Zulkar_spawn|Warlord Zulkar spawned
qstr_Obrist_Heynrich_spaw|Obrist Heynrich spawned
qstr_Verante_Kruus_spawne|Verante Kruus spawned
qstr_Rufio_of_Barclay_spa|Rufio of Barclay spawned
qstr_Sebastokrator_Kaspax|Sebastokrator Kaspax spawned
qstr_Holy_Inquisitor_Rasm|Holy Inquisitor Rasmus Devatica spawned
qstr_Toblik_s_Veccavian_R|Toblik's Veccavian Renegades spawned
qstr_Heroes_are_here.|Heroes are here.
qstr_Sarleon_lords_are_he|Sarleon lords are here.
qstr_Ravenstern_lords_are|Ravenstern lords are here.
qstr_D_Shar_lords_are_her|D'Shar lords are here.
qstr_Fierdsvain_lords_are|Fierdsvain lords are here.
qstr_Empire_lords_are_her|Empire lords are here.
qstr_ON|ON
qstr_Evil_Twins|Evil Twins
qstr_Evil_twin_party_spaw|Evil twin party spawned!
qstr_Soldiers__balls_cut_|Soldiers' balls cut off!
qstr_Soldiers_killed_and_|Soldiers killed and ressurected!
qstr_Horse|Horse
qstr_1_Handed|1-Handed
qstr_2_Handed|2-Handed
qstr_Polearm___Spear|Polearm - Spear
qstr_Polearm___Halberd|Polearm - Halberd
qstr_Arrows|Arrows
qstr_Bolts|Bolts
qstr_Shield|Shield
qstr_Bow|Bow
qstr_Crossbow|Crossbow
qstr_Thrown|Thrown
qstr_Helmet|Helmet
qstr_Armor|Armor
qstr_Boots|Boots
qstr_Gloves|Gloves
qstr_Not_used|Not used
qstr_Horse_Charge|Horse Charge
qstr_Horse_Speed|Horse Speed
qstr_Horse_Maneuver|Horse Maneuver
qstr_Horse_Armor|Horse Armor
qstr_Horse_Hitpoints|Horse Hitpoints
qstr_Swing_Damage|Swing Damage
qstr_Thrust_Damage|Thrust Damage
qstr_Weapon_Speed|Weapon Speed
qstr_Weapon_Reach|Weapon Reach
qstr_Missile_speed|Missile speed
qstr_Max_Ammo|Max Ammo
qstr_Bonus_Damage|Bonus Damage
qstr_Shield_Resistance|Shield Resistance
qstr_Shield_Speed|Shield Speed
qstr_Shield_Hitpoints|Shield Hitpoints
qstr_Shield_Coverage|Shield Coverage
qstr_Ranged_Damage|Ranged Damage
qstr_Reload_Speed|Reload Speed
qstr_Missile_Speed|Missile Speed
qstr_Body_Armor|Body Armor
qstr_Leg_Armor|Leg Armor
qstr_Head_Armor|Head Armor
qstr_Armor_Weight|Armor Weight
qstr_{s4}:_Average:_{reg0|{s4}: Average: {reg0}, St.dev.: {reg1}, Count: {reg2}
qstr_Printing_scores...|Printing scores...
qstr_{reg0}:_{s10}|{reg0}: {s10}
qstr_{reg0}._{reg1}:_{s10|{reg0}. {reg1}: {s10}
qstr_All_20_companions_re|All 20 companions recruited
qstr_Conversation_#{reg0}|Conversation #{reg0} chosen out of {reg1} total.
qstr_{reg1}_{s1}_{reg2?ac|{reg1} {s1} {reg2?accept:accepts} the offer.
qstr_No_one_accepts_the_o|No one accepts the offer.
qstr_{s18}^^_There_{reg2?|{s18}^^ There {reg2?are:is} {reg1} {reg2?types:type} of Elite troops present that cannot be persuaded to join your cause.
qstr_{s18}^^_There_{reg2?a|{s18}^^ There {reg2?are:is} {reg1} {reg2?types:type} of undead troops present that cannot be persuaded to join your cause.
qstr_You_start_reading_{s|You start reading {s2}. After a few pages, you feel you could learn a lot from this book. You decide to keep it close by and read whenever you have the time.
qstr_You_flip_through_the|You flip through the pages of {s2}, but you find the text confusing and difficult to follow. Try as you might, it soon gives you a headache, and you're forced to give up the attempt.
qstr_Villagers|Villagers
qstr_You_have_encountered|You have encountered {s1}.
qstr_You_have_engaged_{s1|You have engaged {s1} while they were raiding {s3}.
qstr_You_were_caught_by_{|You were caught by {s1} while your forces were raiding {s3}.
qstr_Challenge_quest_reno|Challenge quest renown earned so far: {reg1}/{reg2}.
qstr_Renown_earned_so_far|Renown earned so far: {reg1}.
qstr_You_were_victorious!|You were victorious!
qstr_The_battle_was_lost.|The battle was lost. Your forces were utterly crushed.
qstr_Your_companions_carr|Your companions carry you away from the fighting.
qstr_You_have_defeated_th|You have defeated the enemy.
qstr_You_have_retreated_f|You have retreated from the siege.
qstr_Your_controversy_has|Your controversy has increased due to this retreat.
qstr_You_have_retreated_fr|You have retreated from the fight.
qstr_^^Ally_Casualties:{s|^^Ally Casualties:{s0}
qstr_Current_progress:_{r|Current progress: {reg4}/{reg5}.
qstr_{s1}_of_the_{s3}_man|{s1} of the {s3} managed to escape.
qstr_Some_of_your_tendons|Some of your tendons have been damaged in the battle. You lose 1 strength.
qstr_You_took_a_nasty_wou|You took a nasty wound which will cause you to limp slightly even after it heals. You lose 1 agility.
qstr_You_have_trouble_thi|You have trouble thinking straight after the battle, perhaps from a particularly hard hit to your head, and frequent headaches now plague your existence. Your intelligence is reduced by 1.
qstr_Perhaps_I_m_getting_|Perhaps I'm getting unlucky...
qstr_Retirement_is_starti|Retirement is starting to sound better and better.
qstr_No_matter!_I_will_pe|No matter! I will persevere!
qstr_What_did_I_do_to_des|What did I do to deserve this?
qstr_I_suppose_it_ll_make|I suppose it'll make for a good story, at least...
qstr_{s9}_wants_you_to_fo|{s9} wants you to follow his army until further notice.
qstr_{s8}_of_the_{s9}|{s8} of the {s9}
qstr__Your_own_banner_fli| Your own banner flies over the castle gate.
qstr__You_see_the_banner_| You see the banner of {s7} over the castle gate.
qstr__Your_own_banner_flie| Your own banner flies over the town gates.
qstr__You_see_the_banner_o| You see the banner of {s7} over the town gates.
qstr_The_{reg6?town_s:cas|The {reg6?town's:castle's} food stores should last for {reg3} more days.
qstr_The_{reg6?town_s:cast|The {reg6?town's:castle's} food stores have run out and the defenders are starving.
qstr_You_re_preparing_to_|You're preparing to attack the walls, the work should finish in {reg9} hours.
qstr_Your_forces_are_buil|Your forces are building a siege tower. They estimate another {reg9} hours to complete the build.
qstr_You_are_ready_to_att|You are ready to attack the walls at any time.
qstr_The_siege_tower_is_b|The siege tower is built and ready to make an assault.
qstr_As_a_last_defensive_|As a last defensive effort, you retreat to the main hall of the keep. You and your remaining soldiers will put up a desperate fight here. If you are defeated, there's no other place to fall back to.
qstr_You_ve_been_driven_a|You've been driven away from the walls. Now the attackers are pouring into the streets. IF you can defeat them, you can perhaps turn the tide and save the day.
qstr_You_ve_breached_the_|You've breached the town walls, but the stubborn defenders continue to resist you in the streets! You'll have to deal with them before you can attack the keep at the heart of the town.
qstr_The_town_center_is_y|The town center is yours, but the remaining defenders have retreated to the castle. It must fall before you can complete your victory.
qstr_The_remaining_defend|The remaining defenders have retreated to the castle as a last defense. You must go in and crush any remaining resistance.
qstr_However_since_you_ar|However, since you are not a sworn {reg63?man:follower} of {s9}, there is no chance he would recognize you as the {reg63?lord:lady} of this {reg8?town:castle}.
qstr_The_enemy_has_been_f|The enemy has been forced to retreat and abandon the surprise assault.
qstr_The_enemy_has_been_fo|The enemy has been forced to retreat. The assault is over, but the siege continues.
qstr_As_you_approach_you_|As you approach, you are spotted by the castle guards, who welcome you and open the gates for their {reg63?king:queen}.
qstr_As_you_approach_you_a|As you approach, you are spotted by the castle guards, who welcome you and open the gates for their {reg63?lord:lady}.
qstr__This_village_and_th| This village and the surrounding lands belong to you.
qstr__You_remember_that_t| You remember that this village and the surrounding lands belong to {s7}.
qstr__These_lands_belong_| These lands belong to no one.
qstr__The_village_is_infe| The village is infested by {reg8} {s35}.
qstr__The_village_has_bee| The village has been looted. A handful of souls scatter as you pass through the burnt out houses.
qstr__The_village_is_bein| The village is being raided.
qstr_No_one_here_seems_to|No one here seems to be willing to join your party.
qstr_One_{s3}_volunteer_t|One {s3} volunteer to follow you for 20 Dinars.
qstr_{reg5}_{s3}_voluntee|{reg5} {s3} volunteers to follow you for 20 Dinars each.
qstr_Try_as_you_might_you|Try as you might, you could not defeat the bandits. Infuriated, they raze the village to the ground to punish the peasants, and then leave the burning wasteland behind to find greener pastures to plunder.
qstr_village|village
qstr_town|town
qstr_castle|castle
qstr_{s10}|{s10}
qstr_^{s10}|^{s10}
qstr_{s18}^{s10}.|{s18}^{s10}.
qstr__{s10}___{reg12}%_Da|({s10} - {reg12}% Damaged-)
qstr_The_{s17}_has_no_imp|The {s17} has no improvements.
qstr_The_{s17}_has_the_fo|The {s17} has the following improvements:^^       {s18}
qstr_The_assasins_beat_yo|The assasins beat you down and leave you for dead. .
qstr_You_have_fallen._The|You have fallen. The bandits quickly search your body for every coin they can find, then vanish into the night. They have left you alive, if only barely.
qstr_Luckily_some_of_your|Luckily some of your companions come to search for you when you do not return, and find you lying by the side of the road. They hurry you to safety and dress your wounds.
qstr_Luckily_some_passing|Luckily some passing townspeople find you lying by the side of the road, and recognise you as something other than a simple beggar. They carry you to the nearest inn and dress your wounds.
qstr_You_fail_to_steal_an|You fail to steal any cattle.
qstr_You_drive_away_{reg1|You drive away {reg17} {reg12?heads:head} of cattle from the village's herd.
qstr___{reg1}_denars_per_| ({reg1} denars per night)
qstr_As_you_near_the_Snak|As you near the Snake Cult stronghold, you can see its many defenders manning the walls. It may be a bloody day.
qstr_The_fully_rebuilt_Or|The fully rebuilt Order fortress conveys an impression of strength and permanence.
qstr_The_Order_stronghold|The Order stronghold seems welcoming now that it's cleansed of every trace of Cultist presence.
qstr_Order_Stronghold|Order Stronghold
qstr_Report_news_of_your_|Report news of your victory to your Order.
