str_no_string|NO STRING!
str_rumor_talk_boris_12|He said that a tavernkeeper told him that Boris the Raven's favorite toast is 'To death, destruction and victory with no survivors.' He sounds very dangerous to me.
str_rumor_talk_boris_13|He heard rumors that Boris the Raven has eyes of two different colors, one black, the other light blue. He stands 7 feet tall and can break a man in half with ease.
str_rumor_talk_boris_14|He heard that Boris the Raven broke with the tradition of the Knights of the Raven Spear and now has created a schism in the Order. Dozens of those Knights have sworn allegiance to him!
str_rumor_talk_boris_15|He has heard that Boris the Raven and his Rogue Knights are the best in all of Pendor. They can take any castle with their siege crossbows and heavy armor!
str_rumor_talk_aeldarian_1|He said the Noldor were fighting under a new warlord, name of Aeldarian, or something like that. The Noldor always mean trouble.
str_rumor_talk_aeldarian_2|He said that a trader told him about a Noldor Warlord, Aeldarian, who has no patience with human encroachments onto their turf.
str_rumor_talk_aeldarian_3|He said that one of the Empire Lords had a dust-up with the Noldor, and had the bad luck to run into Warlord Aeldarian. He was badly beaten.
str_rumor_talk_aeldarian_4|He has heard that the Noldor Aeldarian is reputed to hate the Jatu more than the other humans in Pendor. He shows them no mercy. 
str_rumor_talk_aeldarian_5|He has heard that Noldor warlord, Aeldarian, won't ransom prisoners when he takes them. He forces his prisoners to join him or die.
str_rumor_talk_aeldarian_6|He came across two militiaman who said they chased some forest bandits into Noldor territory, but did not follow them. He figured Warlord Aeldarian would take care of them.
str_rumor_talk_aeldarian_7|He heard that one of the Noldor warlords despises humans and won't tolerate their presence in Noldor territory.
str_rumor_talk_aeldarian_8|He said that the traders no longer travel through the woods near Laria, because with Warlord Aelderian patrolling the woodlands, the Noldor have gotten extremely aggressive in defense of their territory.
str_rumor_talk_aeldarian_9|He said that rumor has it that Warlord Aeldarian laughs in glee each time one Pendor faction declares war on another. He would be happy if we all killed each other, if rumor does not lie.
str_rumor_talk_aeldarian_10|He heard from a wounded forest bandit that Warlord Aeldarian's warband killed forty of their number in the woods outside Laria. 
str_rumor_talk_aeldarian_11|He said the Noldor, under Warlord Aeldarian, have been mixing it up with the Jatu again. If the story I heard is true, the Jatu had the worst of it.
str_rumor_talk_aeldarian_12|He said that if we travel through the woods outside Laria, take care. He has heard that the Noldor Warlord, Aeldarian challenges all who venture there.
str_rumor_talk_aeldarian_13|He has heard the Noldor are venturing more boldly into the Empire, these days, under the leadership of someone named Aeldarion. 
str_rumor_talk_aeldarian_14|He has heard that Aeldarian, the famous Noldor Warlord, has a wonderous bow in his possession. Thunder echoes when he fires an arrow.
str_rumor_talk_aeldarian_15|He heard that the Noldor, led by the Warlord Aeldarian, are raiding the Jatu for their horses. I wonder why they want Jatu animals, when their own are so fast.
str_rumor_talk_ithilrandir_1|He was told that Ithilrandir, the Noldor, is not as anti-human as most of his ilk.
str_rumor_talk_ithilrandir_2|He heard from a bowman that he was released by Ithilrandir after his Lord lost a battle to him. Honor of that sort from a Noldor is rare.
str_rumor_talk_ithilrandir_3|He heard the Noldor have another warlord, one Ithilrandir, who seems to be more tolerant towards our kind than most of his cohorts.
str_rumor_talk_ithilrandir_4|He said that in the Empire, word is that Marius is grateful for the assistance provided by a Noldor Warlord, Ithilrandir, in the fight against the Snake Cult.
str_rumor_talk_ithilrandir_5|He heard the King in Sarleon has backed off on fighting the Noldor, because they are fighting the Jatu, and that benefits us all.
str_rumor_talk_ithilrandir_6|He heard that the Noldor Warlord, Ithilrandir, is a just and honorable man, if you can call a Noldor a 'man.' They really are not fully human at all.
str_rumor_talk_ithilrandir_7|He said that a bard told him that the Noldor came from some island far from Pendor, that they themselves destroyed by magic, even though they have no real magic now.
str_rumor_talk_ithilrandir_8|He said that word from Laria is that Ithilrandir, some Noldor warlord, has just about eliminated all the forest bandits in the Woods of Laria.
str_rumor_talk_ithilrandir_9|He heard in Poinsbruk that a Noldor Warlord, Ithilrandir, chased a band of Jatu damned near to the Poinsbruk city gates.
str_rumor_talk_ithilrandir_10|He heard that in the Empire, a lot of the villagers like the Noldor, and that Warlord Ithilrandir recruits in the villages there, when the Lords are not looking.
str_rumor_talk_ithilrandir_11|He said that a Ranger told him that the Noldor Rangers are absolutely amazing. He claims their range and accuracy is uncanny.
str_rumor_talk_ithilrandir_12|He heard that if you rescue Noldor prisoners and free them, that Ithilrandir will reward you with unchallenged passage through the Woods of Laria.
str_rumor_talk_ithilrandir_13|He said that the Noldor look down on humans because they think us no better than uncivilized animals. They think mighty well of themselves, they do.
str_rumor_talk_ithilrandir_14|He said that he has seen the Noldor Warlord Ithilrandir draw his bow and slay a fully armored knight with a single arrow. Such news makes me uneasy.
str_rumor_talk_ithilrandir_15|He said that a Knight from Laria who challenged the Noldor Ithilrandir was cut in two with a single slash of his massive two-handed sword. I did not know that such a feat was even possible.
str_rumor_talk_eyegrim_1|He said that a wounded knight told him a terrifying tale of creatures whose faces resembled rotten meat, led by a fearsome creature called Eyegrim the Devourer.
str_rumor_talk_eyegrim_2|He said that a limping bandit told him his men had run across a hideous creature called Eyegrim the Devourer. He barely escaped with his life, and more than thirty of his mates were slain. Their horrible screams could be heard for miles.
str_rumor_talk_eyegrim_3|He said that a troubadour told him that the army of Eyegrim the Devourer eats the corpses of their slain foes. Eyegrim is said to pull the hearts from still-living captives because he prefers his meat fresh.
str_rumor_talk_eyegrim_4|He heard from a healer that it is almost impossible to heal wounds inflicted by Eyegrim the Devourer. He coats his weapons in poisonous filth that causes the wounds to rot.
str_rumor_talk_eyegrim_5|He heard that the Snake Cult Priestesses fear Eyegrimm the Devourer, for his followers can best even their Anaconda Knights.
str_rumor_talk_eyegrim_6|He heard that a fearsome army of undead, led by one Eyegrim the Devourer, has invaded Pendor. As if we do not have trouble enough here already.
str_rumor_talk_eyegrim_7|He heard that the peasants in the Fierdsvain guard their graveyards now, for fear that Eyegrim the Devourer will raise their dead for his army.
str_rumor_talk_eyegrim_8|He encountered a trader who came across a knight missing one arm, dying where he lay. He told the trader that Eyegrim the Devourer had torn off his arm and eaten it before his very eyes.
str_rumor_talk_eyegrim_9|He heard that a D'Shar Khan is rumored to thank his god, Vata, daily that his horse was fleet enough to outrun Eyegrim the Devourer. His warband perished defending his retreat.
str_rumor_talk_eyegrim_10|He said that rumors tell of a D'Shar tribal camp overrun by Eyegrim the Devourer and his army. It stands empty now because Eyegrim and his army ate every last man, woman and child in it, some while they were still alive.
str_rumor_talk_eyegrim_11|He said that even the Bahadur Khan himself pisses his armor in fear, when he has word that Eyegrim the Devourer is in D'Shar territory. 
str_rumor_talk_eyegrim_12|He heard rumors that Eyegrim the Devourer had boasted that he looked forward to meeting someone called {playername}, because he fancied eating the still-beating hearts of brave warriors.
str_rumor_talk_eyegrim_13|He heard some nobles curse those Heretics to a fiery eternity for summoning the unstoppable Eyegrim the Devourer.
str_rumor_talk_eyegrim_14|He heard that the Heretics were trying to summon a very strong demon called Eyegrim the Devourer to this world. Gods help us if they are successful!
str_rumor_talk_eyegrim_15|He said that he met a Heretic Confessor, alone and clearly frightened, racing for the mountains to escape the Heretic priests' nefarious plans. The Confessor was unaware of their plan initially, but once he heard of it, deserted to save not only his life but his very soul!
str_rumor_talk_dread_1|He said that a trader came across a dying Legionnaire, whose last words were of a fearsome Legion, led by the Snake Cult, so large he could not count their numbers.
str_rumor_talk_dread_2|He has heard it rumored in the Empire that even Marius, with all his army, fears to tackle the Dread Legion, for they cannot be defeated. The Empire may yet fall to the Snake Cult, if this story is true.
str_rumor_talk_dread_3|He was told in the Empire that the Snake Cult has invaded Pendor with an army too large to defeat. They are capturing everyone who crosses their path, for sacrifice to their hideous goddess.
str_rumor_talk_dread_4|He has heard some people say that the Dread Legion is really the elite Third Legion the old Empire once sent to defeat the Snake Cult uprising, but were never heard from again.
str_rumor_talk_dread_5|He said that the Anaconda Knights of the Dread Legion are five times stronger than any knight in Pendor, and no one can stand against them 
str_rumor_talk_dread_6|He was traveling in the Empire last week, and an Empire Horseman fleeing the Dread Legion told him to run for his life because there was no point in standing against their evil numbers.'
str_rumor_talk_dread_7|He heard that the kiss of a Snake Cult Priestess brings instant death. They are said to imbibe poison from childhood onward, as part of their revolting rites. Their very breath can slay a man, or so he was told.
str_rumor_talk_dread_8|He bumped into a fellow from Janos the other day. The man told him that the Snake Cult Priestesses are taken from Empire villages as young girls, and trained up from childhood to kill. The snake venom they feed them perverts their minds to unthinking devotion to their goddess.
str_rumor_talk_dread_9|He said that someone whispered to him that the Dread Legion seeks one {playername}, to avenge the Snake Cultists slain by {reg63?his:her} warband. It is said that {reg63?he:she} is to be taken alive and delivered to their goddess for a terrible punishment. You've made some powerful enemies there.
str_rumor_talk_dread_10|He said that he inadvertently overheard a conversation in the Cez tavern about a huge army, the Dread Legion, which has invaded the Empire. All who encounter them are slain or taken captive.
str_rumor_talk_dread_11|He said that it is rumored in the Empire that a Dread Legion, composed of numerous Snake Cultists, fights under the aegis of Azi Dahaka, their terrifying goddess, whose power makes them invincible.
str_rumor_talk_dread_12|He has heard that in the Empire the goddess of the Snake Cult, Azi Dahaka, takes the form of a huge hooded cobra and directs her Dread Legion in their slaughter.
str_rumor_talk_dread_13|I'm not sure I believe this tale, but he said that there is talk in the Empire of an invading army called the Dread Legion, filled with Snake Cult Priestesses and their Anaconda Knights.
str_rumor_talk_dread_14|He said that he heard rumors that the Dread Legion used to be the Imperial Guard of the old Baccus Empire, before their souls were consumed by the Snake Goddess prior to the collapse of the Empire.
str_rumor_talk_dread_15|He has heard that the snake priestesses are talking of the arrival of the Dread Legion, the unstoppable army of the Snake Cult's unholy mother.
str_rumor_talk_sisters3_1|He said that a friend of his spotted three women dressed for battle on swift warhorses. They were riding near Marleons at full gallop.
str_rumor_talk_sisters3_2|He said that a knight told him that he narrowly escaped being seduced by the sweet words of three beautiful women commanding and army. He managed to escape, but two of his friends were trapped into serving in the ranks of the Three Seers.
str_rumor_talk_sisters3_3|He said that a Fierdsvain farmer in the market told him that he had seen a huge army, composed mostly of women, riding past Mistmire Castle before dawn last week.
str_rumor_talk_sisters3_4|He said that the chief steward of the Koningur was in the Javiksholm tavern dead drunk the other night. He said that his Koningur prays to Thallo that those Seer-women will stay in Sarleon so he does not have to take action against them. He is not sure he can defeat an army that large.
str_rumor_talk_sisters3_5|He said that he heard tell of a merchant house of 'Felin' that was having shady dealings with the Red Brotherhood. Their thuggery will certainly cause the nobility of Sarleon to turn against them soon.
str_rumor_talk_sisters3_6|He said that the order of the Red Fletchers held an archery tournament in Avendor, and a Ravenstern chap put them all to shame.
str_rumor_talk_sisters3_7|He said the knighthood order of the Boar were sponsoring their annual hunt. That hunt has been going on every year for over 20 summers.
str_rumor_talk_sisters3_8|He told me some rumors about a minor Sarleon noble house of 'Morgan' that have been at odds with King Ulric for some time. There is no love lost between them.
str_rumor_talk_sisters3_9|I have no idea what a 'Doomguide' might be, but he said that several of them were in the area the other night. They were armed to the teeth, and were asking questions about Nobles in the area.
str_rumor_talk_sisters3_10|He said that he was accosted by two women calling themselves 'Doomguides,' asking if he had seen a renegade Knight. That is odd, I think.
str_rumor_talk_sisters3_11|He said that he heard about an army of women led by three seers who encountered the Sarleon Knighthood order of the Owl. They apparently met for tea in an open field then afterwards the Knights just rode away. Good thing, the knights were outnumbered over 20 to 1, so perhaps discretion is indeed the better part of valor.
str_rumor_talk_sisters3_12|Our problems in Pendor never cease. He said that some pack of crazy females, calling themselves 'Seers,' has raised a monstrous army. They enslave the unwary... be careful if you run into them.
str_rumor_talk_sisters3_13|It is rumored that in the swamps north of Mistmire Castle, three ancient and powerful Sorceresses have a hidden lair. He hears they trick the unwary into becoming their slaves.
str_rumor_talk_sisters3_14|He ran across a half-starved warrior just outside of Avendor. The man raved about escaping his demonic lover in the swamps north of Mistmire. He thought the warrior mad until he exhibited the hand of a guard he had overpowered to escape. The hand he showed as proof of his escape was not entirely human.
str_rumor_talk_sisters3_15|He said the villagers near Mistmire fear and avoid the marshes near the castle because something very evil is lurking there.
str_rumor_talk_inquisitor_1|He has heard there is a devoted sect of holymen who are purging the lands of heathens, with a leader no-less!
str_rumor_talk_inquisitor2|He said that Rasmus Devatica shows no mercy to the people in D'Shar lands, that no one is safe in the south!
str_rumor_talk_inquisitor_3|He says that rumor has it that men of the Inquisition burned an entire camp in the D'Shar Territories, because they found one heretic amongst the peasants.
str_rumor_talk_inquisitor_4|He has heard that the wisest course to follow when encountering Holy Inquisitor Rasmus is to flea from his merciless visage.
str_rumor_talk_inquisitor_5|He said that a trader told him that Inquisitor Rasmus captured his caravan, stole his goods, and left him there stark naked, all because The Inquisition was in need of donations for 'the cause.'
str_rumor_talk_inquisitor_6|If what he says about Rasmus Devatica is true, he and his holy order will find a reason to purge you from this world. He sees the heretic within us all.
str_rumor_talk_inquisitor_7|He said that he heard from a trader from Torbah that Inquisitor Devatica was at large near there, and all the villages calling for their lords for protection from him.
str_rumor_talk_inquisitor_8|He has heard tell that even Sheik Shalavan avoids a fight with that lot of murderers led by this 'holy' inquisitor. I cannot imagine what could frighten a man like Shalavan, and I prefer not to!
str_rumor_talk_inquisitor_9|He said that he was informed that even the Eventide Knights dare not attack Rasmus. That they fear what happens if they survive well-enough to be captured..
str_rumor_talk_inquisitor_10|He heard that no one expects the Holy Inquisition.
str_rumor_talk_inquisitor_11|He said that he has heard that if Eyegrim and Rasmus we're to compete in a staring contest, Eyegrim would explode of holy fire!
str_rumor_talk_inquisitor_12|He has heard people say that Devatica himself likes to interrogate heretics. Who knows behind closed doors?
str_rumor_talk_inquisitor_13|He said that he witnessed the legendary inquisitor, Rasmus Devatica, take on three Heretic Invokers at once and defeat them all.
str_rumor_talk_inquisitor_14|He has heard that Inquisitor Rasmus is gathering priests and mercenaries to fight with heretics and heathens.
str_rumor_talk_inquisitor_15|He has heard tell of an inquisitor named Rasmus Devatica, who is merciless in his quest for converting heretics.
str_rumor_talk_eventide_1|he heard a young man proselytizing on a street corner: 'There is a secret war in Pendor! What we mistake for Heretics are actually the crusaders of Eventide! They are here to liberate us from the tyranny of kings and priests! We can be free men again! Glorious beneath the eyes of our Goddess!' Yet, even as he said these things, the crowd stoned him.
str_rumor_talk_eventide_2|he heard from a woodsman outside Sarleon that the Heretics are not alone. It seems they're guided by an order of fierce knights who can slaughter militia with unparalleled ease. While hiding in the woods, he saw them butcher a platoon of halberdiers. As the sun set, he heard unsatiated bloodlust in their cries of victory.
str_rumor_talk_eventide_3|he heard from an Ehlerdah peasant that Baron Gaidon's father is still alive, but has become a recluse. Apparently, he never leaves his manor and only allows one trusted valet to attend him. Nobody is supposed to talk about it, but the whole village knows. His arms and legs were torn off, and now he mutters all day, terrified, 'Eventide, Eventide.'
str_rumor_talk_eventide_4|he heard a Heretic yelling from the stake, 'Erida will welcome me in my next life! The fire at my feet is the warmth of her touch! I will know the pleasure of her embrace, while you in Pendor suffer! Verily, all Pendor shall suffer! The Circle of Thorns is upon your head! Erida's twilight descends upon this benighted land, and Eventide shall wash you away!
str_rumor_talk_eventide_5|he heard from a man-at-arms that the Heretics' leaders come from Barclay, across the sea. This tidbit came from two knights, each adorned in splendid armor with a sunrise insignia. They had also sailed from Barclay, sent to hunt the Heretics' leaders. They call themselves The Knights of Dawn and they also seek the rebels of Eventide.
str_rumor_talk_eventide_6|he spoke with a thin young woman who once tended the tavern outside Foxstead. One night--just as the sun was setting--three black-clad knights sauntered in. The patrons fell dead quiet, averting their eyes. 'Give us thirteen barrels!' one of the knights shouted. When the barkeep protested that he did not have so much ale, they slaughtered all the patrons and and drained the dead men's mugs before vanishing into the night.
str_rumor_talk_eventide_7|he encountered a vagrant huddled in an alleyway. 'They're watching me, sirrah! Everywhere, their eyes are everywhere! They watch me through the crows, through the bats, through the wolves! Eventide is here, sirrah! Eventide has come to Pendor!
str_rumor_talk_eventide_8|he heard from a vegetable vendor that beets are becoming a scarce commodity. Ever since the Heretics took a fancy to them, the rest of Pendor has been hard pressed to keep the roots guarded. Nobody knows what those fanatics are planning, but it's been suggested that the beets' red juice resembles blood... and their guardians, The Knights of Eventide, savor every drop of it.
str_rumor_talk_eventide_9|he heard from a caravan guard that Pendor is under siege, not from a foreign military, but from an outlaw band of knights. They work in tandem with The Heretics. On his last trip, his caravan visited three villages laid to waste by these self-proclaimed Knights of Eventide.
str_rumor_talk_eventide_10|he heard from a Ravenstern Ranger that The Knights of Eventide have powerful witchcraft at their disposal. He emptied his full quiver into one of the knights, more arrows protruding from his back than quills from a porcupine, and still the monster rode on, slaughtering the men of Ravenstern with unflinching ease.
str_rumor_talk_eventide_11|he heard from a wild-eyed peasant that The Knights of Eventide breathe the night as the living breathe the air. It is their essence, their soul. And when they whisper their horrible thoughts, it comes out not as warm breath, but as a chill breeze of death.
str_rumor_talk_eventide_12|he heard from a red-eyed miller that he hadn't slept in thirteen days, and if he could help it, he would never sleep again. He no longer trusted the night. It was THEIR time. It was the hour of Eventide.
str_rumor_talk_eventide_13|he overheard soldiers at Poinsbruk saying that their latest shipment of weapons is six days late. Their quartermaster fears the worst:  The Knights of Eventide have intercepted yet another arms caravan.
str_rumor_talk_eventide_14|he heard a peasant boy weeping that his parents haven't returned in four nights. The other villagers suspect they've been abducted by Eventide, either to be sacrificed or forcibly converted.
str_rumor_talk_eventide_15|he heard a Ravenstern ranger say that now even wolves fear the approach of night. That has become the hour of Eventide.
str_rumor_talk_eventide_16|he heard that arms merchants have doubled--and in some cases tripled--the number of guards they bring with them. Rumor has it that the Knights of Eventide are gearing up for a major campaign, and they need weapons.
str_rumor_talk_eventide_17|he heard that some clever bandits have begun to wear crude imitations of Eventide armor. Apparently, that's all they need to frighten merchants into submission.
str_rumor_talk_eventide_18|he heard from a scholar in Ethos that the Knights of Eventide have more in common with the Order of Dawn than either will admit... She believes they may even be working together, one terrifying the people of Pendor so that the other can justify its growing tyranny.
str_rumor_talk_eventide_19|he heard from a woodmen in Sarleon that late at night, the Knights of Eventide will howl at the moon, and the most ferocious of them will actually take on the visage of wolves. He even saw them eat the flesh of another human being.
str_rumor_talk_eventide_20|he heard from fletcher in Janos that the leader of the Knights of Eventide has sold his humanity to gain immortality. Now, in order to survive, he must eat the souls of virgins, but only when the moon is full or when summer turns to fall.
str_rumor_talk_eventide_21|he heard from a wounded swordsman that he once worked for the Knights of Eventide, but when he saw their leader Kadrin drinking blood on the battlefield, he slipped away and never returned. Now, whenever he hears a bat squeak, he fears his life is about to end.
str_rumor_talk_eventide_22|he heard from a captured Heretic that the Knights of Eventide will rescue him, and that those who stand in the way of Erida Occisor will die. Three days later, a prison guard stabbed the other guards in the back, slaughtered every prisoner in the keep and then slit his own throat.
str_rumor_talk_eventide_23|he said a poor peasant told him of the destruction wrought on his village by a band of Knights of Eventide. Or was it the Knights of Dawn? I forget.
str_rumor_talk_eventide_24|he said that the Knights of Eventide are nothing more than closet Heretics posing as a knightly order.
str_rumor_talk_eventide_25|he said he once knew a Knight of Dawn, but the man switched Orders and is now a Knight of Eventide due to some kind of ideological differences.
str_rumor_talk_eventide_26|he said Sir John, a Sarleon Knight, claims that a Knight of Eventide is just a Knight of Dawn who has given up all pretense of being virtuous.
str_rumor_talk_eventide_27|he said that an Empire Legionnaire told him that the Demon warriors are child's play to fight compared to the Knights of Eventide.
str_rumor_talk_eventide_28|he said a Ravenstern Knight said that the Order of Dawn embraced their twisted path of zealotry in reaction to the heresy of the Knights of Eventide. He also said they are proud of their fanaticism.
str_rumor_talk_eventide_29|he said it is the dream of most Heretics to join the Order of the Knights of Eventide.
str_rumor_talk_eventide_30|he said the scholar, Martin Stryker, wrote in 'Justice or Injustice, a story of the Rising Sun' that Sir Godfroi was burned for heretical research into Erida Occisor. He also noted that Godfroi's death caused the Order to split into the factions of Dawn and Eventide.
str_rumor_talk_eventide_31|he said that the real reason the Knights of Eventide left the Order of Dawn was that vow of Chastity. Don't blame them either!
str_rumor_talk_eventide_32|he said a female friend of his had fallen in love with Sir Alistair, that villainous Knight of Eventide. I wonder why the ladies always prefer the bad ones!
str_rumor_talk_eventide_33|he heard a speech by a Knight of Eventide, it sounded like this, 'something something something... Dark Side.'
str_rumor_talk_eventide_34|he heard it said that when the first Knight of Eventide was burned for heresy he was heard to shout 'And thus the first sacrifice is made'. Ironic that it was the Knights of Dawn who burned him.
str_rumor_talk_eventide_35|he said that there were posters out offering a reward for the apprehension of some knight called Sir Roland. Apparently, both the Orders of Dawn, and Eventide want him dead. He must be a truly evil man.
str_rumor_talk_eventide_36|he knew a traveller from Barclay, who claimed that things were bad in Barclay. Caravans and villages just disappear off the face of the earth, and people sometimes stumble upon gruesome scenes of sacrifice. He described piles of skulls, bones circling a pit of entrails, and the overpowering stench of blood and burning flesh.
str_rumor_talk_eventide_37|he asked what was more forgivable, killing innocents because of your beliefs, or killing innocents because of their beliefs? This is at the root of the war between the Orders of Dawn and Eventide.
str_rumor_talk_dawn_1|he heard from the Valonbray armorer that a new order of knights moved into his city, knights who refuse to patronize any of the local smiths. Apparently they brought their own craftsmen from across the sea, and these men forge-- even he admits--the finest swords and armor Pendor has ever seen. That armor is emblazoned with a rising sun, so keep your eyes peeled.
str_rumor_talk_dawn_2|he heard that the Fierdsvain nobles are in an uproar over some new knighthood order. They sailed into Valonbray a few years back and have been stirring up trouble ever since. Apparently, they came to Pendor to kill Heretics, which is all fine and good, except they've been burning entire villages in the process. They even killed Lord Oakshield's son for interfering!
str_rumor_talk_dawn_3|he spoke with a merchant who nearly lost his life to the Heretics. They had been slowly torturing the man, smiling at his shrieks of agony. As his vision faded, the ground began to tremble and heavy horses galloped forth from the dawn, sweeping the Heretics away as the sun swept away the night's shadows.
str_rumor_talk_dawn_4|he heard from a wandering swordsman that there is a new order of knights in Pendor. Unlike the boisterous warriors he drinks with, these knights are as stern and quiet as death itself. He saw one get in a scrape once, and when the dust settled, seven of his assailants lay in puddles of blood. The knight walked away, unscathed but for the blood spattered across his shield, obscuring its sunrise insignia.
str_rumor_talk_dawn_5|It seems that Earl Aedin Redsword has reached an agreement with the self proclaimed Queen Agnus of the Vanskerry! Her Freebooters are sworn to his service!
str_rumor_talk_dawn_6|he heard from a drunken fishmonger that one should never take Astraea's name in vain. If they hear of it, the Order of Dawn will abduct your son as penance, putting him to work in their stables. Worst of all, the boy will end up as fanatical as his masters.
str_rumor_talk_dawn_7|he heard from the Javiksholm goods merchant--a fellow known to crack a good joke--that The Knights of the Dawn are the most humorless bastards in Pendor. They even threatened to confiscate his goods if he did not shut up.
str_rumor_talk_dawn_8|he heard a potato farmer say that his son was beheaded by a Knight of Dawn for failing to bow before the Order's grandmaster, Dalon Valchance.
str_rumor_talk_dawn_9|he overheard a Heretic say to his captors, 'You're with the Order of Dawn, yes? Then we're not so different, you and I. We both want to see a goddess return to this world, no matter what the cost.'  In response, the knights beat him bloody.
str_rumor_talk_dawn_10|he heard from a woodcutter outside Sarleon that even though he's a devout worshiper of Eunomia Stabilitis, he pretends to follow Astraea, instead--just to keep the Order of Dawn from coming after him.
str_rumor_talk_dawn_11|he heard from a pearl-diver in Valonbray that his wife was burned at the stake by the Order of Dawn. They suspected she was a heretic, tortured her, then stood her before a tribunal of monks, who forced her to admit to sins she had never committed. They then burned her.
str_rumor_talk_dawn_12|he heard from a squire in Sarleon that the Knights of Dawn can out-maneuver even King Ulric's personal bodyguard.
str_rumor_talk_dawn_13|he heard from an outspoken peasant that Bryn of Ravenstern could single-handedly rid her nation of the Order of Dawn, but she'd rather not fight until her son is full grown. When he heard this, he told the peasant not to spread such dangerous rumors, as the Order of Dawn might put Bryn before an Inquisition if they hear the rumors.
str_rumor_talk_dawn_14|he heard from a linen trader that the Order of Dawn has begun inspecting all goods that pass through Valenbray. Rumor has it that the Heretics have begun smuggling weapons to their brethren in Barclay.
str_rumor_talk_dawn_15|he met a pikeman with a story to tell. He narrowly escaped a raid by the Knights of Eventide and in hiding, watched his comrades die. When the Order of Dawn rode over the horizon, he thought they were saved. Not so. The Knights of Dawn vanquished their adversaries, then butchered his friends... just in case one was a Heretic in disguise.
str_rumor_talk_dawn_16|he heard from a Barclay diplomat that the Knights of Dawn were once a noble order, but in the past century became corrupted by their own virtue. Now, the nobility of his nation were simply eager to be rid of them, so sent them on a 'mission' to Pendor to be rid of them.
str_rumor_talk_dawn_17|he heard from a harlot in Valonbray that business has gotten significantly worse since the Order of Dawn established itself in town. She had expected the new knights would be eager for her company, but they spurn her propositions as if she had the plague.
str_rumor_talk_dawn_18|he heard from a barkeep in Valonbray that the Knights of Dawn come into his establishment often for the dartboard, but never actually buy a drink. The one time a knight did, the fool got drunk off three pints and started smashing the place up. A few days later, the poor sod was expelled from his order and subsequently found dead by his own hand.
str_rumor_talk_dawn_19|he heard a Knight of Dawn say that before long Astraea will come to Pendor and cleanse it of its sins via the Knights of Dawn. His own family was slaughtered by bandits, but in a world governed by Astraea, villains like that will burn before they can ever take up a sword.
str_rumor_talk_dawn_20|he said a Mettenheim Greatswordsman told him that the Knights of Dawn are the true power in Barclay.
str_rumor_talk_dawn_21|he said a Knight of the Radiant Cross told him their former allies, the Knights of Dawn, were guilty of many crimes. He witnessed their burning of a village after they slaughtered all the peasants there.
str_rumor_talk_dawn_22|he said a friend told him there is little difference between the Knights of Dawn and Eventide. Both Orders are composed of religion-addled, murderous bastards. Interestingly, his friend went missing soon after.
str_rumor_talk_dawn_23|he said rumor held there was a mysterious third faction involved in the dispute between the Knights of Dawn and the Knights of Eventide, though he knew nothing of this third group.
str_rumor_talk_dawn_24|he said a fisherman told him the Knights of Dawn requisitioned his fishing boat to transport troops and weaponry from Barclay. He never saw a denar in return from those bloody thieves.
str_rumor_talk_dawn_25|he said a local barman told him that the Knights of Dawn and Eventide were once both the same Order. The Order of Pink Pansies.
str_rumor_talk_dawn_26|he said a priest of Astraea told him that the Order of Dawn and Eventide were once as one, but both had forsaken their true purposes.
str_rumor_talk_dawn_27|he said that even the purest can be corrupted, witness the current state of those Knights of Dawn.
str_rumor_talk_dawn_28|he said a wandering minstrel told him of a village ravaged by the Knights of Dawn. Not one peasant survived.
str_rumor_talk_dawn_29|he said he asked him, which is worse: A brigand murdering to keep his children fed, or a knight killing innocents in the name of 'justice'?
str_rumor_talk_dawn_30|he said he once met a very gracious Knight named Roland. He was true paragon of what the Knights of Dawn once stood for. Sir Roland said he'd left the Order of Dawn. Now, they've put a price on his head for desertion and theft of his equipment and horse.
str_rumor_talk_dawn_31|he said a Ravenstern Ranger told him a Knight of Dawn seized his bow and broke it, claiming it was the god, UllrVetr, manifested. The ranger killed the knight, ambushed him from cover with his new bow!
str_rumor_talk_dawn_32|he said a Knight of the Raven Spear told a great joke; two Knights, one of the Radiant Cross and one of the Dawn plus a Huscarl meet in a tavern. The Radiant Cross knight first orders a bottle of wine... for medicinal purposes. The Huscarl then buys a strong rum, and immediately challenges all those present to a drinking contest. Finally, the Knight of Dawn steps up and buys the entire stock of whiskey. He then dumped it over the heads of the other two, set it aflame and walked out of the tavern laughing.
str_rumor_talk_dawn_33|he said a D'Shar tribesman once described a Fierdsvain clansman with a 'fiery beard'. Unfortunately, a Knight of Dawn overheard and misunderstood. He immediately began slaughtering nearby Fierdsvainers to purge them of their heretical practice of sacrificing their beards to the gods of Flame.
str_rumor_talk_dawn_34|he said a Knight of the Dawn once reprimanded a friend of his for laughing, saying that mirth was a heretical sin.
str_rumor_talk_mett_1|he said a Barclay sailor told him that Mettenheim has great ships of iron powered by magic. They call them 'Ironclads.'
str_rumor_talk_mett_2|he said an Empire legionnaire told him Mettenheim soldiers are so strong they wield their greatswords like mere twigs.
str_rumor_talk_mett_3|he was told that Mettenheim soldiers refuse to use horses, as their faces remind them too much of their wives.
str_rumor_talk_mett_4|he heard a Sarleon priest say that the people of Mettenheim esteem iron almost as if it were a god.
str_rumor_talk_mett_5|he said he once spoke to a Mettenheim soldier. That's about it really.
