str_no_string|STRING 없습니다!
str_rhodok_rebellion_pretender_story_3|마리우스는 D' Shar를 물리 쳤습니다. 나는 제국의 시민으로서 용기가 있거나 배신에 의해 죽었는지에 상관없이 모든 죽은 D' Shar에게 감사합니다. 내가 Imperator가되면, 나는 그의 어깨에서 월계관을 꺼내기 직전에 그의 머리에 월계관을 놓을 것이다. 그는 제국과 우리의 신성한 전통에 대한 반역자임을 스스로 입증했습니다.
str_swadian_rebellion_monarch_response_1|Darlion은 그가 Sarleon의 왕이어야한다고 생각합니까? 그는 웅장한 망상으로 어린 새끼 일뿐입니다. 그는 자신의 주장이 타당하더라도 왕국을 통치 한 경험이 없다. 저의 웅장한 사람들은 백 년 전 그의 가족의 날조 된 주장을 듣고 기각했습니다. 그 주장은 당시 유효하지 않았으며 그의 마술 같은 작은 장신구는 오늘날 그것들을 유효하게하지 않습니다.
str_vaegir_rebellion_monarch_response_1|어 슐라가 남자라면, 그녀는 틀림없이 강한 왕이었을 것입니다. 그러나 그녀는 남자가 아니며, 자기 존중하는 북한의 전사는 여자를 따르지 않을 것입니다. 또한, 그녀는 기사로 무기를 들었습니다. 어떤 왕도 그에게 영광을주지 않았습니다. 나는 그녀의 기사단을 부여함에있어 그들의 권위를 넘어서서 그녀의 명령을 금지했다.
str_khergit_rebellion_monarch_response_1|제 동생 크세르 크세스는 의심의 여지없이 교장들을 마치 말의 무리 인 것처럼 나눌 계획을 들었습니다. 나는 여러분에게 이것을 말합니다 : D' Shar가 사막의 채집 자에 지나지 않은 이래로, 모든 칸의 죽음은 땅을 나누고 칸의 아들들이 전쟁을 벌이고 결국에는 가장 강하게 잡은 같은 결과를 낳았습니다. 나는 피할 수없는 내전을 피했을 뿐인데, 그로 인해 불필요한 D' Shar 사망이 발생했을 것입니다.
str_nord_rebellion_monarch_response_1|아이언 핸드? Inar Ironbrain이 더 적합합니다. 당신은 정신적으로, 그는 화살통에서 가장 날카로운 화살이 아니라는 것을 알았을 것입니다. 그렇습니다. 우리는 몇 년 전에 사냥 여행 중 친절한 술취한 무기 테스트를 마쳤습니다. 나는 그가 잃어 버릴 것이라는 것을 알았습니다. 그는 지능이 부족하지만 매우 강한 전사입니다. 나는 그에게 칼이나 금 지갑을 요구할 것이라고 생각하면서 그에게 유익을 주었다. 그가 내 소유권과 토지를 요구했을 때 나는 냉정했다. 나는 그에게 자신의 무게를 금으로 바쳤고, 내 노예 소녀 세 명이 그를 즐겁게 해 주었지만 그는 단호히 거절했고 다시 Fierdsvain을 요구했습니다.
str_rhodok_rebellion_monarch_response_1|의심 할 여지없이 Demosthenes는 귀족의 귀족 선출을 방해하여 제국의 관습을 무시했다고 말했습니다. 귀족들은 귀족들이 우리의 고대 자유에 대해 오랫동안 이야기를하고 의도적 인 척을합니다. 그런 다음 빌라에서 마지막으로 고귀한 술을 마시면서 훌륭한 와인을 마시면서 뱀 컬트에 대한 기대를 간과 할 것을 약속합니다.
str_swadian_rebellion_monarch_response_2|이것은 우리 가족 사이의 오래된 분쟁이지만 오래 전에 해결되었습니다. 그것은 우리가 그와 그의 주장을 더 가혹하게 다루지 않았다는 우리의 정의와 자비를 보여줍니다. 우리의 백성을 다시 생각하지 않고 칼에 넣는 사람들로부터 실제 위협이있을 때, 그의 우화에 시간을 낭비하지 마십시오.
str_vaegir_rebellion_monarch_response_2|아버지가 왕위를 지키기 위해했거나하지 않았던 것은 중요하지 않습니다. 나는 그것에 앉아 최종입니다. 모든 오래된 주장이 새로 제기된다면, 모든 사람의 상속이 언제든 의문의 대상이 될 수 있다면, 그것은 왕권 제도의 끝이 될 것이며, 우리는 끊임없는 내전의 상태로 살 것입니다.
str_khergit_rebellion_monarch_response_2|Xerxes는 세금을 면밀히 평가하거나 토지 분쟁의 판결을 내릴 것입니다. 그러나 Bahadur Khan과 같은 사람을 상상할 수 있습니까? 우리의 이웃 사람들은 순식간에 우리 땅을 점령 할 것이며, 우리의 D' Shar는 한때 우리 자신의 큰 사막이었던 곳에서 굶주리고 얼어 붙을 것입니다.
str_nord_rebellion_monarch_response_2|개인 전투를 통한 승리의 전통은 우리가 반스 케리에서 땅을 잃은 공격자 였을 때 좋았으며, 우리의 생존은 무기의 힘에 달려있었습니다. 오늘날 우리의 생존에는 힘과 교활함이 모두 필요합니다. Inar는 죽은 물고기의 교활함을 가지고 있습니다. 나의 의무는 Fierdsvain과 나의 백성, 그리고 그들을 행복하게하기 위해 금과 여성을 요구하는 나의 주제에 대한 것이다. 나는이 바보를 엄청나게 용납하지만, 그가 힘으로 그의 주장을 강요한다면, 나는 그와 그의 추종자들에게 전쟁 지도자와 코닝 구르의 차이점을 가르 칠 것입니다.
str_rhodok_rebellion_monarch_response_2|제국 시민과 관련된 유일한 자유는 지방을 키울 자유입니다. 그들을 지키기 위해, 내 남자들은 열린 빵과 소금 물고기를 먹고 타는 마을의 수평선을 스캔하면서 잠을 잔다. 그들은 캐러밴 경로를 열어두기 위해 피를 흘 렸습니다. Jatu lance, D' Shar arrow-wound 또는 Fierdsvain sword-stroke에서 절뚝 거리는 상인을 만날 때마다 '여기에 조언을받을만한 사람이 있습니다.'라고 말합니다.
str_none|없음
str_item_pool_no_items|현재 아이템 풀에 아이템이 없습니다.
str_item_pool_one_item|항목 풀에 하나의 항목이 남아 있습니다.
str_item_pool_many_items|아이템 풀에 {reg20} 개의 아이템이 남아 있습니다.
str_item_pool_abandon|항목 풀에서 항목을 버리고 계속하십시오.
str_item_pool_leave|끝난.
str_hero_not_upgrading_armor|내 갑옷을 업그레이드하지 않음
str_hero_upgrading_armor|내 갑옷을 업그레이드
str_hero_not_upgrading_horse|내 말을 업그레이드하지 않음
str_hero_upgrading_horse|내 말을 업그레이드
str_hero_wpn_slot_none|최신 상태 유지 ({s10})
str_hero_wpn_slot_horse|말
str_hero_wpn_slot_one_handed|한손 무기
str_hero_wpn_slot_two_handed|양손 무기
str_hero_wpn_slot_polearm_all|폴암
str_hero_wpn_slot_arrows|화살표
str_hero_wpn_slot_bolts|볼트
str_hero_wpn_slot_shield|방패
str_hero_wpn_slot_bow|활
str_hero_wpn_slot_crossbow|석궁
str_hero_wpn_slot_throwing|무기 던지기
str_rumor_bonus_traveler_1|나는이지도를 가로 질러 레인에 숨겨져있었습니다. 검색 할 수 없으므로 관심이 있으시면 200 데 나르에 판매 할 것입니다.
str_rumor_bonus_traveler_2|Rane에서 숨겨진 가슴에 관한 정보를 얻었습니다. 디나르 200 명에게 위치를 알려 드릴 수 있습니다. 관심이있으세요?
str_rumor_bonus_traveler_3|나는이지도를 가로 질러 Rane의 숨겨진 가슴으로 왔습니다. 나는 그곳을 직접 여행 할 수 없으므로 관심이 있으시면 200 데 나르에 팔겠습니다.
str_rumor_bonus_traveler_4|나는 Rane에 숨겨진 가슴에 대한지도를 받았다. 나는 그것을 스스로 검색 할 수 없으므로 관심이 있다면 200 데 나르에 팔릴 것입니다.
str_rumor_bonus_traveler_5|200 개 디나르에게 판매 할지도가 있습니다. Rane에서 사용할 수있는 항목이있을 수있는 숨겨진 캐시의 위치를 보여줍니다. 관심이있으세요?
str_rumor_bonus_traveler_6|나는이지도를 가로 질러 Valonbray에 숨겨진 숨겨 두었습니다. 검색 할 수 없으므로 관심이 있으시면 200 데 나르에 판매 할 것입니다.
str_rumor_bonus_traveler_7|Valonbray에서 숨겨진 가슴에 관한 정보를 얻었습니다. 디나르 200 명에게 위치를 알려 드릴 수 있습니다. 관심이있으세요?
str_rumor_bonus_traveler_8|나는이지도를 가로 질러 Valonbray의 숨겨진 가슴으로 왔습니다. 나는 그곳을 직접 여행 할 수 없으므로 관심이 있으시면 200 데 나르에 팔겠습니다.
str_rumor_bonus_traveler_9|나는 Valonbray에 숨겨진 가슴에 대한지도를 받았다. 나는 그것을 스스로 검색 할 수 없으므로 관심이 있다면 200 데 나르에 팔릴 것입니다.
str_rumor_bonus_traveler_10|200 디나르에게 팔 수있는지도를 얻었습니다. 사용할 수있는 항목이있을 수있는 Valonbray의 숨겨진 캐시 위치를 보여줍니다. 관심이있으세요?
str_rumor_bonus_traveler_11|나는이 희귀 한지도를 가로 질러 숨겨진 Red Brotherhood 보물 보관함에 왔습니다. 나는 Red Brotherhood와 직접 싸우고 싶지 않기 때문에 관심이 있으시면 200 데 나르에 판매 할 것입니다.
str_rumor_bonus_traveler_12|200 디나르에게 팔 수있는지도를 얻었습니다. 매우 귀중한 아이템이있을 수있는 숨겨진 Red Brotherhood 보물 캐시의 위치를 보여줍니다. 관심이있으세요?
str_rumor_talk_burilgi_1|그는 사막에서 많은 부족들이 모이는 이야기를 들었습니다.
str_rumor_talk_burilgi_2|그는 D' Shar 부족은 아마도 광기의 손에 쥐고있는 사막의 선지자를 지원하기 위해 단합을 속삭이는 것이라고 말했다.
str_rumor_talk_burilgi_3|그는 사람들이 사막의 예언자에 대해 이야기하는 것을 들었고 어떤 이들은 Usurper가 자신이 부정한 것으로 간주하는 모든 것을 횃불에 넣을 것이라고 말했습니다.
str_rumor_talk_burilgi_4|그는 사람들이 사막에서 힘을 모으는 이상한 선지자에 대해 이야기하고 있다고 말했습니다.
str_rumor_talk_burilgi_5|이야기는 광야에서 온 수많은 D' Shar 부족을 연합시키는 미친 선지자가 많습니다.
str_rumor_talk_burilgi_6|사람들은 D' Shar를 자극하는 것으로 알려진 깊은 사막에서 미친 사람에 대해 이야기하고 있습니다. Bahadur Khan이 상황에 대해 가장 화가 났다고 들었습니다.
str_rumor_talk_burilgi_7|그는 부사 르기라는 선지자와 합류하기 위해 깊은 사막으로 향하는 D' Shar 전사 무리를 만났습니다. 그들은 매우 의도가 있었고 서둘러 보였다.
str_rumor_talk_burilgi_8|그는 사막 Usurper Burilgi가 추종자들을 노예로 만들기 위해 어떤 종류의 약을 사용하는 것으로 유명하다고 들었습니다. 그는 전투 전에 그것들을 빼앗아 야생 짐승처럼 싸 웁니다. 왜냐하면 그들이 이기지 않으면 더 이상 그것을 가질 수 없다고 말합니다.
str_rumor_talk_burilgi_9|그는 열두 살이 넘은 친척을 사냥하는 청년 캠프에 왔습니다. 그들은 아버지와 형제들이 사막의 거룩한 선지자를 찾기 위해 부족을 버렸다고 말했다.
str_rumor_talk_burilgi_10|그는 자신의 여행에서 불쌍한 옷을 입은 방랑자에게 왔으며, 그는 파괴자 Burilgi의 전령이라고 말했습니다. 나는이 Buriligi가 누구인지 확실하지 않지만 불길한 소리가납니다.
str_rumor_talk_burilgi_11|그는 Buriligi라고 불리는 누군가가 그의 종교적 신념에서 화를 냈다는 소문과 그의 추종자들에게 연설 할 때 광란의 입에서 거품이 일어났다.
str_rumor_talk_burilgi_12|그는 D' Shar 영토에서 Usurper Buriligi는 결코 사막을 떠나지 않지만 Torbah 근처 강을 모험하는 사람들은 자신의 허락없이 고난을 당했다고 이야기를 들었습니다.
str_rumor_talk_burilgi_13|그는 자신이``Omen Seekers ''라고 부르는 두 여성이 흰 매를 보았는지 알고 싶어했습니다. 그들은 사막 Usurper에 의해 그들에게 주어진 비전 퀘스트에 있다고 말했다. 매우 이상하지 않습니까?
str_rumor_talk_burilgi_14|그는 신속한 지팡이에 전투를 위해 옷을 입은 세 명의 여성을 발견했습니다. 그들은 가득한 갤럽에서 사막으로 타고 있었다.
str_rumor_talk_alaric_1|그는 Alaric von Brouhaha의 행방을 알고 있는지 묻고 에일 통으로 가득 찬 마차를 운전하는 한 무리의 사람들을 만났습니다.
str_rumor_talk_alaric_2|그는 탈북자들과 산적들이 신생 산적 군주에 합류하면서 반란의 소문이 있었다고 말했다.
str_rumor_talk_alaric_3|그는 에일 술꾼들의 영광스러운 군대의 진영을 찾고 있던 마차에서 한 무리의 여성들을 만났다. 나는 그런 것을 들어 본 적이 없다!
str_rumor_talk_alaric_4|그는 Alaric Von Brouhaha의 군대에 합류하려는 낫, 사냥 용 칼, 갈퀴와 함께 여러 농민들을 만났습니다.
str_rumor_talk_alaric_5|농부들과 평민들은 왕에게 도전하는 알라 릭이라는 농민 장군에 대해 흥분스럽게 이야기하고 있습니다!
str_rumor_talk_alaric_6|두 정찰병이 그를 막아 피 묻은 무법자 알레 릭 폰 부로 하의 행방에 대해 물었다 물론 그는 몰랐습니다.
str_rumor_talk_alaric_7|그는 유명한 무법자 Alaric Von Brouhaha에 합류할지 여부를 토론하고 있던 무법자들과 며칠 동안 야영을했습니다.
str_rumor_talk_alaric_8|그는 술을 많이 마시고 취한 후 Alaric Von Brouhaha 진영의 행방을 잃어버린 매우 술취한 군인 세 명을 만났습니다.
str_rumor_talk_alaric_9|그는 Alaric Von Brouhaha라는 이름의 사람을 만났다고 주장했으며 병에 걸리기 전까지는 탈출 할 수 없었습니다. 이 얼마나 우스운 이야기입니까!
str_rumor_talk_alaric_10|그는 상인으로부터 Alaric Von Brouhaha라는 누군가가 횃불과 갈퀴로 가득 찬 농민 rabble 군대를 키우고 술에 취했다고 들었습니다. 터무니없는!
str_rumor_talk_alaric_11|그는 거의 황폐해진 마을을지나 갔다. 한 노인은 여전히 그곳에서 대부분의 마을 사람들이 Alaric Von Brouhaha에 합류했다고 말했습니다.
str_rumor_talk_alaric_12|Alaric von Brouhaha는 어제 여관에서 에일 한 방울을 마 셨으며, 오늘 밤 여기에 없었을 곳은 없습니다. 그 농민은 얼마나 아픈가!
str_rumor_talk_wolfbode_1|그는 슬레이어 한 Wolfbode가 자신의 신 Vejovis가 환상으로 그를 방문했다고 주장하며 Mystmountain 씨족을 위해 모든 Ravenstern을 되 찾는 데 자신의 도구가 될 것이라고 말했습니다.
str_rumor_talk_wolfbode_2|그는 슬레이어 울프 보데가 야만인 일족의 군대를 이끌뿐만 아니라 도적과 무법자를 모집하여 그를 위해 싸운다 고 말했습니다. 그는 그들에게 보상으로 Ravenstern에 도착할 것을 약속합니다.
str_rumor_talk_wolfbode_3|그는 Ravenstern 시장의 상인들이 Slayer의 Wolfbode가 Ravenstern의 모든 남성, 여성 및 아동을 제거하기로 맹세했다고 말했습니다.
str_rumor_talk_wolfbode_4|그는 상인으로부터 포인 브룩을 지나서 야만인 족장이 이끄는 위대한 군대를 보았다고 들었습니다. 그는 목숨을 걸고 간신히 탈출했다. 그는 군대가 거대해 보였다고 말했다.
str_rumor_talk_wolfbode_5|그는 웃으면 서 기사가 그레고리 왕이 슬레이어 울프 보드를 향한 생각에 자신의 갑옷을 더럽힌다 고 말했다. 하아, 그가 두려워하는 유일한 사람은 아닙니다. 그는 아마도 부인 Ursula를 더 두려워 할 것입니다.
str_rumor_talk_wolfbode_6|그는 레이 인의 주둔지 사령관이 슬레이어의 Wolfbode가 공격 할 경우를 대비하여 부대를 강화하고 있다고 말했습니다. Bah 씨족은 도시를 포위하지 않고 단지 야만인 침입자입니다.
str_rumor_talk_wolfbode_7|그의 이야기는 무법자에 관한 것으로, 그는 늑대 인간이 미쳤다고 생각하기 때문에 슬레이어 Wolfbode의 군대를 버렸다고 말했습니다. 그는 아마도 Mystmountain 고양이 신 Vejovis가 소유하고 있다고 주장합니다. 가능한 이야기!
str_rumor_talk_wolfbode_8|산적은 슬레이어 울프 보데가 자신의 손이 그의 신인 베조 비스의 인도를 받았다는 소식을 들었다는 말을 들었습니다.
str_rumor_talk_wolfbode_9|그는 자신의 레인저 인에 대해 아는 사람이 슬레이어 울프 보데 군대에 의해 10 분 안에 자신의 전장이 모두 지워 졌다고 말했습니다. 물론 그의 주님은 자신의 피정을 다루는 사람들의 삶으로 자신의 삶을 사 셨습니다.
str_rumor_talk_wolfbode_10|소문에 의하면, 미스트 마운틴 클랜은 자신의 백성을 위해 모든 까마귀를 정복하려는 위대한 전사 슬레 이프 볼프 보드 (Wolfbode the Slayer) 아래 연합되어 있다고합니다.
str_rumor_talk_wolfbode_11|그는 UllrVetr조차도 슬레이어 Wolfbode가 Ravenstern으로 침입 한 것을 두려워 할지도 모른다는 소식을 들었습니다. 그의 신 Vejovis는 사나운 산 고양이의 형태로 군대와 싸우기 때문입니다.
str_rumor_talk_wolfbode_12|그는 슬레이어 한 Wolfbode가 이끄는 야만적 인 야만인 군대에 대해 이야기했습니다. 그는 산의 Ravenstern 바로 위 어딘가에 명성이 있습니다.
str_rumor_talk_wolfbode_13|그는 많은 산악인, 무법자, 도둑들이 울프 보데라는 Mysmountain 영웅의 깃발에 모여 들었다고 말했다.
str_rumor_talk_wolfbode_14|그는 과거에 임박한 침략의 조짐이었던 야만인 정찰대가 많이 목격했다고 말했다.
str_rumor_talk_wolfbode_15|그는 Poinsbruk에서 세 명의 여성이 시계 지휘관의 코 바로 아래에서 야만인 공격 당에 의해 납치되었다고 말했다. 소문에 따르면 마을에 몰래 들어간 사람은 Wolfbode 자신이었습니다.
str_rumor_talk_kjuda_1|그는 Sarleon 민병대 원이 Ravager K'Juda와 얽힌 일부 기사의 시체를 발견했다고 말했다. 그들이 고문을 당하기 전에 그들의 눈이 ug 다.
str_rumor_talk_kjuda_2|그는 Jatu조차도 경고없이 화를 낼 때 자신의 부하를 처형하기 때문에 Ravager K'Juda를 두려워한다고한다. 나는 그가 자기 자신의 남자들에게 어떻게 행동하는지 그와 함께 타는 것이 궁금합니다!
str_rumor_talk_kjuda_3|그는 민병대 중 한 명이 자신이 고독한 Jatu를 점령했다고 말했다. 그는 Ravager K'Juda라고 알려진 사람은 모든 Jatu 부족을 단합하고 Ravenstern을 상대하려는 의도라고 말했다.
str_rumor_talk_kjuda_4|그는 상인에게서 숲에서 죽은 Noldor의 밴드에 어떻게되었는지 들었습니다. 그중 하나에 창 던지기가 갇혀서 K'Juda라는 누군가의 선언문을 들고 모든 Noldor가 곧 같은 운명을 맞이할 것이라고 선언했습니다.
str_rumor_talk_kjuda_5|그는 일부 Sarleon 기사들이 Noldor와 Jatu 동료 간의 전투에 대해 이야기하는 것을 들었습니다. 그들은 심지어 Noldor조차도 Jatu의 압도적 인 세력에 맞설 수 없다고 말했다.
str_rumor_talk_kjuda_6|그는 Poinsbruk에서 Jatu가 무시 무시한 분노 때문에 '라바 거'라고 불리는 하나의 K'Juda의 깃발 아래서 강제로 연합되고 있다는 소문을 들었습니다.
str_rumor_talk_kjuda_7|그는 Senderfall의 상인이 어제 밤에 취했다고 들었습니다. 그는 모든 물품을 버리고 'K'Juda'라는 사람이 이끄는 Jatu 전사들에게서 도망 쳤다.
str_rumor_talk_kjuda_8|그는 밤새 여행자를 만났고, 창백하고 떨 렸습니다. 그는 Pojubruk의 방어에 대한 정보를 얻기 위해 Ravenstern 기사단을 괴롭히는 K'Juda Jatu를 보았다고 말했다. 그는 멀리서 비명 소리를 들었다.
str_rumor_talk_kjuda_9|그는 그 악한 Jatu 군주 인 K'Juda가 Jatu 신인 Indar의 지상의 구체화라고 주장하는 것을 들었습니다. 그는 반드시 신이되어야합니다. Jatu는 그들이 겁쟁이라고 생각하면 전투에서 등을 쏘고 있다고 주장합니다.
str_rumor_talk_kjuda_10|그는 일부 Jatu가 강제로 그들을 연합하고 Sarleon 군대에 대항 할 계획 인 Jatu 군주 Ravager K'Juda에서 숨어 있다고 들었습니다.
str_rumor_talk_kjuda_11|그는 Jatu 부족들과 거래하는 자신이 알고있는 동료는 곧 K'Juda 주가 Indar가 승리를 확보 할 것이라고 약속했기 때문에 Ravenstern을 인수 할 것이라고 말했습니다.
str_rumor_talk_kjuda_12|그는 Jatu가 지금 혼란에 빠졌다는 말을 들었습니다. 왜냐하면 그들 모두가 '라바 거 K'Juda'라고 불리는 일부 군벌의 입찰을 원치 않기 때문입니다. 매력적인 이름, 말하지 않겠습니까?
str_rumor_talk_kjuda_13|그는 상인의 말에 따르면, Ravager K'Juda에 대해 유일하게 들었던 것은 Noldor를 죽이는 그의 재능이라고 Laria에서 말합니다. 그들은 자신에게 마법의 활이 있으며 목표를 놓치지 않는다고 말합니다.
str_rumor_talk_kjuda_14|그는 Jatu K'Juda가 텐트 밖 기둥에 Noldor 헤드를 장착하는 것을 좋아한다고 들었습니다. 나는 그가 지금 거기에 수십 개의 두개골을 가지고 있다고 들었습니다.
str_rumor_talk_kjuda_15|그는 Ravager K'Juda가 포로들을 고문함으로써 고통을 가하는 것을 좋아한다고 들었습니다. 그는 그들이 죽기 전에 며칠 동안 비명을 지르는 것을 좋아합니다.
str_rumor_talk_zulkar_1|그는 모든 사르 레온 기사들이 줄 카가 모든 저주받은 자 투족에게 용감하고 명예로운 사람처럼 싸운다 고 말합니다.
str_rumor_talk_zulkar_2|그는 자투가 줄 카르 (Zulkar) 라 불리는 강력한 장군 아래 자발적으로 연합하고 있다고 들었다. 그는 Jatu가 '잃어버린 영광'으로 간주 한 것을 복원하기로 약속했습니다.
str_rumor_talk_zulkar_3|그는 Jatu Warlord Zulkar가 모퉁이 사자보다 더 치열하게 싸운다는 소문이 있다고 말했다. 그의 기술은 아마도 뛰어나다.
str_rumor_talk_zulkar_4|그는 일부는 군주 줄 카르가 근처에있을 때 Noldor조차 조심스럽게 밟았다 고 말했다. 의심 할 여지없이 Jatu는 Noldor를 멸시합니다.
str_rumor_talk_zulkar_5|그는 군주 줄카의 군대가 일주일까지 더 커지고 부족을 위해 모든 펜 도르를 로밍 할 계획이라고 레이븐 스턴 소장에게서 들었습니다.
str_rumor_talk_zulkar_6|그는 군주 줄 카르가 또 다른 Noldor Warbands를 휘핑했다고 들었습니다. 이 속도로 그는 숨겨진 엘프 도시에서 텐트를 치기 전에 알릴 것입니다.
str_rumor_talk_zulkar_7|그는 군주 줄 카가 명예 경비원을 가지고있어 아무도 그들을 지나칠 수 없다고 들었습니다. 물론 그들이하더라도 줄카는 여전히 다루어야 할 것입니다!
str_rumor_talk_zulkar_8|그는 Jatu가 불안해 할 때, 그들을 이끌 기 위해 일어날 군벌의 장군에 대한 속담을 인용한다고 말했다. 내가 듣는 것에서 그것은지나 갔다.
str_rumor_talk_zulkar_9|그는 '야투가 힘을 합치면 문제가 발굽에 닿습니다!' Laria의 소문에 따르면, 지금 일어나고 있습니다.
str_rumor_talk_zulkar_10|그는 심지어 Noldor조차도 군주 줄카의 잔혹함을 두려워하지만, 그의 전투 능력을 신중하게 존중한다고 말했다.
str_rumor_talk_zulkar_11|그는 일부 열성적인 젊은 Sarleon 군주들이 얼마 전에 전쟁 군주 줄 카르를 점령했다고 말했다. 그들은 곧 다시 군대를 수비하지 않을 것입니다.
str_rumor_talk_zulkar_12|그는 자 투르 줄 카르 (Julkar Zulkar) 장군이 자투 언덕과 평원에 크게 섰다는 소문을 들었다.
str_rumor_talk_zulkar_13|그는 울 리치 왕이 줄 카르 군주가 언젠가 모든 사 레온을 소유 할까 봐 두려워한다고 들었습니다.
str_rumor_talk_zulkar_14|그는 Jatu Warlord Zulkar와의 전투에서 고독한 Ravenstern Ranger의 이야기를 들었습니다. 레인저는 줄카에서 50의 속도로 화살을 발사하여 그를 죽일 것이라고 확신했습니다. 줄카는 손으로 화살을 잡고 두 개를 쏘아서 계속 싸웠습니다.
str_rumor_talk_zulkar_15|그는 까마귀 군주가 군주 줄 카를 상대하기 위해 용의 기사단을 조직하고 있다는 소문을 들었습니다.
str_rumor_talk_oswald_1|그는 믿을만한 소식통에 의해 한 Oswald de Fleur가 이끄는 Adventuring 회사가 Fierdsvain에서 큰 문제를 일으킨다는 정보를 받았습니다.
str_rumor_talk_oswald_2|그는 포도 나무에서 까마귀 군주가 오스왈드 드 플 뢰르에게 도전하지 않을 것이라고 들었습니다.
str_rumor_talk_oswald_3|그는 내가 Oswald de Fleur에 대해 들어 봤는지 물었다. 그는 당신이 그의 회사에 뛰어 들어도 절대 그에게 도전하지 말라고 말합니다. 그렇게한다면 반드시 슬픔에 빠질 것입니다.
str_rumor_talk_oswald_4|그는 Ravenstern 상인이 Oswald de Fleur가 이끄는 모험 회사에 4 개의 캐러밴을 잃었다 고 말했습니다. 그의 공격은 빈도가 높아졌고 거래자들은 분노했습니다.
str_rumor_talk_oswald_5|그는 Fierdsvain 농부들이 Oswald de Fleur로 알려진 모험가를 제거하기 위해 Koningur를 탄원했다고 말했다. 그는 마을을 반복해서 습격했다.
str_rumor_talk_oswald_6|그는 Vanskerry Raiders조차도 모험가 인 Oswald de Fleur를 피하는 것을 선호한다는 소문이 있다고 말했다. 그의 방패는 Vanskerry Jarl의 벗겨진 피부로 덮여 있습니다.
str_rumor_talk_oswald_7|그는 레이븐 스턴 와드 중 한 사람이 코닝 구르와 그레고리 왕이 오스왈드 드 플 뢰르의 수장에게 훌륭한 보상을 제공했다고 말했다.
str_rumor_talk_oswald_8|그는 소문이 거짓말을하지 않으면 오스왈드 드 플뢰 르는 자신의 회사 규모의 3 배에 해당하는 반스 케리 해적단을 물리 쳤다고 언급했다.
str_rumor_talk_oswald_9|그는 용병 어드벤처 링 (Adventuring Company) 선장 인 오스왈드 드 플 뢰르 (Oswald de Fleur)가 일반적으로 자신의 병사를 소그룹으로 배치하지만, 결합 할 때 조심해야한다고 말했다.
str_rumor_talk_oswald_10|그는 지난주에 Oswald de Fleur와 그의 부하들을 만났다고 말했다. 그들은 정말 무서워요.
str_rumor_talk_oswald_11|그는 춥고 죽은 눈에서 한 눈으로 Oswald de Fleur는 자신의 트랙에서 가장 대담한 전사를 막을 수 있다고 말했다.
str_rumor_talk_oswald_12|그는 만약 당신이 Oswald de Fleur를 고용 할 기회가 있다면, 합의 된대로 정확하게 지불하는 것이 현명하다고 말했다. 그는 자기를 건너는 사람들에게 무슨 일이 일어나는지 두려운 이야기를했습니다.
str_rumor_talk_oswald_13|그는 Oswald de Fleur 하의 Adventuring Companies가 비밀 임무를 위해 연합하기로 소문되었다는 소문을 들었습니다.
str_rumor_talk_oswald_14|그는 Osplayer de Fleur가 보낸 몇 명의 땅없는 기사들을 만나 {playername}이라는 사람의 소재를 발견했다고 말했습니다. 그게 너야?
str_rumor_talk_oswald_15|그는 오스왈드 드 플 뢰르 (Oswald de Fleur)를 섬기고있는 윈드 홀름 근처에있는 대형 용병 회사에 합류 한 한 맹수를 만났다고 말했다.
str_rumor_talk_meregan_1|그는 Meregan Kierlic에 의해 운영되는 회사가 그 안에 뜨거운 여자들을 저주했다고 말했지만, 당신이 그 여자들을 화나게하면 그 여자들은 눈을 깜짝 놀라게 할 것입니다.
str_rumor_talk_meregan_2|그는 Griffonsword Company의 리더 인 Meregan Kierlic이 자신의 어머니를 노예로 팔 겠다는 소문을 들었습니다.
str_rumor_talk_meregan_3|그는 제국 군주가 자신의 몸값을 Meregan Kierlic에게 지불하는 것을 완전히 파산했다고 들었습니다.
str_rumor_talk_meregan_4|그는 Meregan Kierlic이 Fierdsvain Lords의 자산을 연구한다고 말했기 때문에 마지막 디나르에게 몸값을 청구 할 대상을 알고 있습니다.
str_rumor_talk_meregan_5|그는 군단 병원들이 Meregan Kierlic에게 손을 대길 원한다고 말했다. 그는 20 명을 점령하고 회사에 가입하기를 거부했기 때문에 노예로 팔았습니다.
str_rumor_talk_meregan_6|그는 Griffonsword Company가 적절한 가격으로 고용 할 것이라고 말하지만 당신은 그들이 충성을 유지한다고 믿을 수는 없습니다.
str_rumor_talk_meregan_7|그는 Griffonsword Company의 여성들이 휴라고 들었습니다! 그들은 아름다운만큼 치명적입니다. 확실히, 그들 중 일부는 외모입니다.
str_rumor_talk_meregan_8|그는 제국 군주가 Griffonsword Company에 참여하려 할 때 Meregan Kierlic이 10,000 디나르를 먼저 요구한다고 들었습니다. 주님 께서 거절 하셨을 때, 그는 백핸드를 쫓아 홀에서 스토킹했다.
str_rumor_talk_meregan_9|그는 Griffonsword Company가 Fierdsvain의 또 다시 충격에 빠졌다고 들었습니다. 아마도 Meregan Kierlic은 Koningur에게 무언가에 대해 화가 났을 것입니다.
str_rumor_talk_meregan_10|그는 Griffonsword Company의 숙녀들이 놀랍도록 아름답다고 말했습니다! 그리고 그들 모두는 강화 살인자입니다.
